model,context,condition,n_true_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRP72,204,2000,0.11631715287974673,0.16066952886285435,0.11631715287974673,0.4442645721199761,0.055904621556501284,0.12583632323272606
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRPRB,153,2000,0.10849828907872093,0.13833870552515587,0.10849828907872093,0.4597671990498439,0.054977272178500965,0.11957632274845598
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRRM1,136,2000,0.11964137498276267,0.19218584335911149,0.11964137498276267,0.42891578339618186,0.054931256180375754,0.1280700245272543
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRRM2,146,2000,0.11591823324205325,0.15497014735433623,0.11591823324205325,0.45102855515152857,0.056143109957873166,0.12447794728702206
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRRT,260,2000,0.09292077821621963,0.14857633213204066,0.09292077821621963,0.5018447022778392,0.055495052556907384,0.11058212072220328
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRSF1,117,2000,0.11178960591822985,0.1493547739814651,0.11178960591822985,0.47581421863332146,0.056470090494689,0.11868096222529478
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRSF10,120,2000,0.11856609570742851,0.14120088804237008,0.11856609570742851,0.43569666929387435,0.055870780236946825,0.12823320188599
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRSF11,116,2000,0.12196767062458408,0.13395731910222597,0.12196767062458408,0.4279615766022061,0.05602555109381338,0.1309125698374644
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRSF2,40,2000,0.11025908775235227,0.15299678131440886,0.11045680279315147,0.4412312046773643,0.054509595405312625,0.12353975329050769
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRSF3,15,2000,0.07232055132324301,0.0881922847114826,0.07673899589601474,0.5368434755776192,0.05334652872208222,0.09937072937503147
TxPert_official_cell_gat_k562_all_fixed2000,K562,SRSF7,100,2000,0.1151636002739692,0.17012601316742998,0.1151636002739692,0.4387580828167731,0.05552538817077165,0.12655125701341594
TxPert_official_cell_gat_k562_all_fixed2000,K562,SS18L2,130,2000,0.11176935812343564,0.1577828728326407,0.11180271215450799,0.44996472315813885,0.05529368116274734,0.12288447757818952
TxPert_official_cell_gat_k562_all_fixed2000,K562,SSBP1,115,2000,0.10989014190848059,0.20489451337838463,0.10989014190848059,0.4666332132909849,0.055579794814859064,0.11910809612499539
TxPert_official_cell_gat_k562_all_fixed2000,K562,SSRP1,440,2000,0.10076393974990061,0.15003608421176431,0.10076393974990061,0.4999019280433887,0.055840086798752644,0.11170208104675529
TxPert_official_cell_gat_k562_all_fixed2000,K562,SSU72,55,2000,0.10821937405328799,0.14900742063379258,0.10825166870385598,0.4592170877351041,0.05495749666341103,0.11967650362860148
TxPert_official_cell_gat_k562_all_fixed2000,K562,STARD7,98,2000,0.11445023285917273,0.18993904326995462,0.11445023285917273,0.44392629772389136,0.05443365265068495,0.12261866824198449
TxPert_official_cell_gat_k562_all_fixed2000,K562,STRAP,91,2000,0.11714803737006368,0.1590954660591627,0.11714803737006368,0.4225931889188603,0.05334652878890295,0.1262361271439811
TxPert_official_cell_gat_k562_all_fixed2000,K562,SUGP1,146,2000,0.11790473098052069,0.18661153131999966,0.11790473098052069,0.44324833372505584,0.056067501093974445,0.1264922968979051
TxPert_official_cell_gat_k562_all_fixed2000,K562,SUGT1,94,2000,0.1199423325092678,0.1267456137815204,0.1199423325092678,0.42688969521825526,0.0548159620425106,0.1284077863027522
TxPert_official_cell_gat_k562_all_fixed2000,K562,SUPT16H,82,2000,0.10204960419521747,0.136272156589997,0.10204960419521747,0.48838633764757466,0.0557313052192775,0.11411315137640553
TxPert_official_cell_gat_k562_all_fixed2000,K562,SUPT4H1,55,2000,0.10607168813511529,0.18546429938354148,0.10623014599011249,0.4574670046745735,0.05487709244460908,0.11995857774280574
TxPert_official_cell_gat_k562_all_fixed2000,K562,SUPT5H,367,2000,0.07369305706706859,0.11415250117235917,0.07371504842996536,0.6061308450641242,0.05494411106089126,0.09064727624710439
TxPert_official_cell_gat_k562_all_fixed2000,K562,SUPT6H,256,2000,0.07429596186663497,0.11869265810496991,0.07431813314740686,0.6176515396257645,0.05527364324727197,0.08949000982959131
TxPert_official_cell_gat_k562_all_fixed2000,K562,SUPV3L1,74,2000,0.11691289444160147,0.1918843334937576,0.11691289444160147,0.4463400420952846,0.057316667737766024,0.12841479824340316
TxPert_official_cell_gat_k562_all_fixed2000,K562,SURF6,113,2000,0.1183290190503203,0.18300717085686546,0.11836433060479666,0.4291199021005829,0.05452361964247788,0.1270591694884993
TxPert_official_cell_gat_k562_all_fixed2000,K562,SYF2,78,2000,0.12323953768999184,0.1820336514335617,0.12327631463349824,0.43050506380575576,0.05640836667535085,0.13102834346803158
TxPert_official_cell_gat_k562_all_fixed2000,K562,SYMPK,80,2000,0.10269524465538982,0.13252175394164367,0.10269524465538982,0.4740199510772717,0.054901168824019034,0.11582037325864722
TxPert_official_cell_gat_k562_all_fixed2000,K562,TADA3,139,2000,0.10959957086640779,0.16856072765750263,0.10963227739307636,0.46734715418307765,0.05484751604029549,0.11735925719410085
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF1,92,2000,0.0901180225143375,0.1442098573191587,0.09014491538885684,0.5189473859090049,0.054623249268519365,0.10525777699074783
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF10,38,2000,0.10109766176305597,0.1800017292633056,0.1012184474999294,0.49824655101921317,0.05559299835748526,0.11157728463547088
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF12,65,2000,0.09210620821076264,0.16449483222188868,0.09213369439644177,0.5381124252075583,0.05540625218714328,0.10296408066795971
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF1C,128,2000,0.1118389486240255,0.16534319718292753,0.1118389486240255,0.45028171302452863,0.054076861898939364,0.12009561821809406
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF1D,99,2000,0.11302050457305074,0.17740202816195158,0.11305423196922294,0.44754544549081526,0.05437677095050709,0.12149999577332997
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF2,137,2000,0.09799029374428218,0.17009710418582094,0.09801953584924913,0.502020665471551,0.054895762886478607,0.10934960564107182
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF5,34,2000,0.09245428468337187,0.15357850345087862,0.09281424446201333,0.5046705833447293,0.054044068838427446,0.1070878104473013
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF6,111,2000,0.10545158370394758,0.19489089323750453,0.10548305239499624,0.47818612737630034,0.05637781390906945,0.11789930636300296
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF7,84,2000,0.0939394743876008,0.1538246619792432,0.09399555765589189,0.48690301039809625,0.05363727842845458,0.11016008564621403
TxPert_official_cell_gat_k562_all_fixed2000,K562,TAF8,103,2000,0.10063008716922334,0.19069215822653898,0.1006601170370745,0.48956435869285625,0.05650552597857106,0.11542001336707083
TxPert_official_cell_gat_k562_all_fixed2000,K562,TANGO6,95,2000,0.10343259183205666,0.14676018954904207,0.10343259183205666,0.4876424480176273,0.056314962250702885,0.11548412433083752
TxPert_official_cell_gat_k562_all_fixed2000,K562,TARS,108,2000,0.10943263696985088,0.1540452566500007,0.10946529368037605,0.4582120279632597,0.054932173613574456,0.11988374172303831
TxPert_official_cell_gat_k562_all_fixed2000,K562,TBCB,97,2000,0.11680597465404967,0.17381149023484174,0.11684083170408072,0.4525444424557801,0.05682767428236021,0.12557368447227418
TxPert_official_cell_gat_k562_all_fixed2000,K562,TBL3,70,2000,0.10693734467126427,0.1978158766578322,0.10693734467126427,0.47549352674413836,0.05585572629978632,0.11746894959340345
TxPert_official_cell_gat_k562_all_fixed2000,K562,TBP,143,2000,0.10636792367214276,0.18942341573216326,0.10636792367214276,0.464284698753162,0.054391545972921326,0.11715127581735352
TxPert_official_cell_gat_k562_all_fixed2000,K562,TCERG1,93,2000,0.11538892187355411,0.15324950405718235,0.11538892187355411,0.43958076653170763,0.055097247811861184,0.12534043969478936
TxPert_official_cell_gat_k562_all_fixed2000,K562,TCOF1,86,2000,0.10751131507998996,0.15879076849727242,0.10751131507998996,0.46040271050330067,0.05313389208248367,0.11540742423154893
TxPert_official_cell_gat_k562_all_fixed2000,K562,TCP1,63,2000,0.11486918791179304,0.14958263130216568,0.11486918791179304,0.4440268086078344,0.05542806431466074,0.12483044264858909
TxPert_official_cell_gat_k562_all_fixed2000,K562,TEFM,192,2000,0.11056306522380809,0.1932424224826298,0.11056306522380809,0.46184127989996376,0.055644622337443175,0.12048429526406348
TxPert_official_cell_gat_k562_all_fixed2000,K562,TELO2,73,2000,0.11233543807413762,0.1560765168491126,0.11233543807413762,0.46262804983463796,0.0562977626023154,0.12169119750850933
TxPert_official_cell_gat_k562_all_fixed2000,K562,TERF2,47,2000,0.11970786498215699,0.14114599708039324,0.11985088513147855,0.44745323979395807,0.05691312044411053,0.12719344528242385
TxPert_official_cell_gat_k562_all_fixed2000,K562,TEX10,153,2000,0.11899998856611148,0.18019880892483137,0.11899998856611148,0.4307684535823034,0.05463999521105632,0.12684307192932823
TxPert_official_cell_gat_k562_all_fixed2000,K562,TFDP1,140,2000,0.12754464605297305,0.169570792597147,0.12754464605297305,0.4015719677928419,0.05469921954611855,0.13621274035793435
TxPert_official_cell_gat_k562_all_fixed2000,K562,TFIP11,58,2000,0.12032466376468783,0.16167142815734908,0.12036057085623206,0.43342088704755394,0.05575652095969314,0.1286428996375218
TxPert_official_cell_gat_k562_all_fixed2000,K562,THAP1,107,2000,0.11237043358467848,0.1415085402117237,0.11240396698771776,0.45977532246410147,0.05638180884003621,0.12262904261928496
TxPert_official_cell_gat_k562_all_fixed2000,K562,THAP11,60,2000,0.11516700153600833,0.13890235599700593,0.11516700153600833,0.4325050473519932,0.05519261047608599,0.12761147999979947
TxPert_official_cell_gat_k562_all_fixed2000,K562,THG1L,43,2000,0.1111016712395059,0.13611100629725073,0.11123440919797604,0.44382530259221875,0.055701137273483484,0.12550238955086593
TxPert_official_cell_gat_k562_all_fixed2000,K562,THOC1,33,2000,0.11686050533950136,0.13787638267404168,0.11700012362545059,0.4333777660632902,0.054729049484971225,0.1262848547106362
TxPert_official_cell_gat_k562_all_fixed2000,K562,THOC2,149,2000,0.11104684516519206,0.13960483203448537,0.11104684516519206,0.4627734287461904,0.056489749157774605,0.12206782936986277
TxPert_official_cell_gat_k562_all_fixed2000,K562,THOC3,133,2000,0.1148633980550789,0.162023898976038,0.1148633980550789,0.44846833846520695,0.056127167713015985,0.12515301894793684
TxPert_official_cell_gat_k562_all_fixed2000,K562,THOC5,28,2000,0.12681257193675674,0.1356291826257038,0.12692616934368725,0.4268041667317292,0.05634867795437423,0.13202466383029937
TxPert_official_cell_gat_k562_all_fixed2000,K562,THOC6,115,2000,0.11735492780135086,0.1389952592500612,0.11735492780135086,0.43890067163792607,0.055320679512695106,0.1260437311380898
TxPert_official_cell_gat_k562_all_fixed2000,K562,THOC7,104,2000,0.11876901443918718,0.15993325657360072,0.11876901443918718,0.4459196833106812,0.05675944668818199,0.12728625252403136
TxPert_official_cell_gat_k562_all_fixed2000,K562,TICRR,147,2000,0.1172110584936064,0.1483492732239141,0.1172110584936064,0.45232393914446917,0.05551248551149096,0.12272727459266292
TxPert_official_cell_gat_k562_all_fixed2000,K562,TIMM13,162,2000,0.10965245185668189,0.1602504699812054,0.10965245185668189,0.4675613710963499,0.055708080418641316,0.11914602589293322
TxPert_official_cell_gat_k562_all_fixed2000,K562,TIMM23B,480,2000,0.10199893515073004,0.15590182182750734,0.10202937350798183,0.49572525040639975,0.055492059757648524,0.11194115811680781
TxPert_official_cell_gat_k562_all_fixed2000,K562,TIMM44,38,2000,0.11316166685724421,0.1457544022679814,0.11319543637883694,0.4509772631133017,0.05351958023821812,0.11867467260322911
TxPert_official_cell_gat_k562_all_fixed2000,K562,TIMM9,183,2000,0.11796031860366168,0.18374967660675615,0.11796031860366168,0.43368968497472765,0.05570419748663248,0.12844252038287082
TxPert_official_cell_gat_k562_all_fixed2000,K562,TMA16,163,2000,0.12147842029429448,0.19006761163763425,0.12147842029429448,0.42154262212854166,0.05551107845456409,0.13168556208482612
TxPert_official_cell_gat_k562_all_fixed2000,K562,TMSB10,190,2000,0.11620001736259203,0.14533778587286167,0.11623469358382825,0.4406151778615904,0.05519027583001556,0.12525731602187162
TxPert_official_cell_gat_k562_all_fixed2000,K562,TMX2,94,2000,0.09670927350805508,0.13699156349117875,0.09670927350805508,0.506354434493938,0.05433771480713929,0.10731161817182353
TxPert_official_cell_gat_k562_all_fixed2000,K562,TNPO3,89,2000,0.1207308674255183,0.1738929332565187,0.1207308674255183,0.4332443138731195,0.056463730071842466,0.13032768569722453
TxPert_official_cell_gat_k562_all_fixed2000,K562,TOMM22,89,2000,0.10928609966938252,0.19472517456594007,0.10928609966938252,0.4598844876321731,0.054460784371693334,0.11842274451976072
