model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
CellFlow_ESM2_1000k_fixed2000,PTCD1,246,2000,0.7840908178037497,0.6822623737976152,0.7840908178037497,0.38484603805541995,0.33991766717710475,0.8832562238709926
CellFlow_ESM2_1000k_fixed2000,HIRA,228,2000,0.8106434249678621,0.7641860521197976,0.8106434249678621,0.38433348453447236,0.3475075927822966,0.9041824293852362
CellFlow_ESM2_1000k_fixed2000,POP4,116,2000,0.7436634916790894,0.6599999426488471,0.7436634916790894,0.4057025203838944,0.34222387788533126,0.8435339990645443
CellFlow_ESM2_1000k_fixed2000,DYNC1H1,217,2000,0.7590382203488604,0.6081973482119676,0.7591900583605324,0.4235296136718989,0.34459693487119786,0.8136312446898666
CellFlow_ESM2_1000k_fixed2000,POLR3B,109,2000,0.7388408007683279,0.724487680506669,0.7388408007683279,0.3976063604837657,0.3493994605157374,0.8787571992134452
CellFlow_ESM2_1000k_fixed2000,DNAJC8,260,2000,0.7644806334251903,0.7135013500865911,0.7644806334251903,0.3950580470976233,0.34005224069250906,0.8607652333198164
CellFlow_ESM2_1000k_fixed2000,QARS,376,2000,0.664918841145618,0.5265527546756171,0.665051851515921,0.43227349219173195,0.34507086025459466,0.7982697493716394
CellFlow_ESM2_1000k_fixed2000,WBP11,205,2000,0.7413999786038956,0.6268329256362832,0.7413999786038956,0.4206666050851345,0.3473848448443652,0.8257960874172567
CellFlow_ESM2_1000k_fixed2000,MCM10,190,2000,0.8216557269412831,0.620224269918218,0.8218200909594751,0.3967743424931168,0.3438843811830291,0.8667001257068266
CellFlow_ESM2_1000k_fixed2000,PSMD1,87,2000,0.7097865622438622,0.584585371871367,0.7097865622438622,0.42615238853394993,0.3510116569177953,0.8236763611453228
CellFlow_ESM2_1000k_fixed2000,MED20,78,2000,0.6065271988886614,0.5991991334395945,0.6067699068514019,0.46188500939279786,0.3476273405116952,0.7526274417141569
CellFlow_ESM2_1000k_fixed2000,DERL2,122,2000,0.7416073118750076,0.6245572283737011,0.741755663007609,0.41740469678282743,0.35476820673533793,0.8499382037872448
CellFlow_ESM2_1000k_fixed2000,VPS54,306,2000,0.7851107128611813,0.7079217293048924,0.7852677664144642,0.40096455988809465,0.3440611556948986,0.8580836850271403
CellFlow_ESM2_1000k_fixed2000,WDR12,174,2000,0.7891717812240031,0.7076759993772628,0.7891717812240031,0.39230426472738406,0.3420205768001735,0.8718247514326649
CellFlow_ESM2_1000k_fixed2000,OXA1L,305,2000,0.7233317413100038,0.5811824710021226,0.7233317413100038,0.40323427418053165,0.3393923842007615,0.8416754167877563
CellFlow_ESM2_1000k_fixed2000,SART3,142,2000,0.7186862738035127,0.6805596015464261,0.7186862738035127,0.3804519703149796,0.3422925715087678,0.8996998023913049
CellFlow_ESM2_1000k_fixed2000,TEX10,153,2000,0.8134393525915652,0.6980119363628725,0.8134393525915652,0.38262425104796904,0.34455113368328877,0.9004947379436896
CellFlow_ESM2_1000k_fixed2000,GTF2E1,176,2000,0.7201325033299741,0.693337037791557,0.7201325033299741,0.4152714418709278,0.34257802169157464,0.8249496086190213
CellFlow_ESM2_1000k_fixed2000,DDX54,68,2000,0.7812339151269589,0.7205871456458869,0.7812339151269589,0.3821444989299775,0.3423956936960156,0.8959848583320994
CellFlow_ESM2_1000k_fixed2000,E4F1,130,2000,0.7316933535774038,0.5705421666662688,0.7316933535774038,0.3900539192762972,0.34631447908306734,0.8878630699237318
CellFlow_ESM2_1000k_fixed2000,RIOK1,290,2000,0.7495184775064477,0.6511113729542707,0.7495184775064477,0.42161439740747225,0.345332053917338,0.819070809370111
CellFlow_ESM2_1000k_fixed2000,EBNA1BP2,68,2000,0.8046623598217512,0.6959689739149888,0.8046623598217512,0.37901055185675625,0.34576398461840535,0.9122806048584046
CellFlow_ESM2_1000k_fixed2000,EIF5A,100,2000,0.751166151322795,0.6138732247247747,0.751166151322795,0.3910980868925156,0.33881960540966255,0.8663289545558168
CellFlow_ESM2_1000k_fixed2000,SF3B2,197,2000,0.6151550028448756,0.5033669161170432,0.6151550028448756,0.426313973632455,0.34591268852629325,0.8114035706239479
CellFlow_ESM2_1000k_fixed2000,ACTR8,242,2000,0.7326572571887393,0.7181922012041436,0.7326572571887393,0.41060787721782926,0.35061740302093797,0.8538983637080841
CellFlow_ESM2_1000k_fixed2000,EXOSC2,209,2000,0.6842084670065995,0.4720039361499589,0.6842084670065995,0.45603166636049763,0.34936310778496676,0.7660939489404935
CellFlow_ESM2_1000k_fixed2000,ALG13,167,2000,0.76073866963436,0.7181903799173034,0.76073866963436,0.3905703111368418,0.3421652637434547,0.8760657050118569
CellFlow_ESM2_1000k_fixed2000,CPSF3,575,2000,0.7317478631704875,0.6603897413300683,0.7317478631704875,0.4123911485430599,0.3469564925483302,0.8413286399594396
CellFlow_ESM2_1000k_fixed2000,RBM42,68,2000,0.7494222752022668,0.6738396117771939,0.7495721896401948,0.3817841497942806,0.34989746804031,0.9164797937893696
CellFlow_ESM2_1000k_fixed2000,CDC40,84,2000,0.7038570037094837,0.6440836477585896,0.7039978032701377,0.4008614837044478,0.3462056065458805,0.8636539352945068
CellFlow_ESM2_1000k_fixed2000,PPP1R11,69,2000,0.7607161869605418,0.7422005928446189,0.7614776646251669,0.37456660041272644,0.3492204181760009,0.9323319496930143
CellFlow_ESM2_1000k_fixed2000,SF3B3,215,2000,0.6364749137327135,0.48086143673720805,0.6364749137327135,0.438333100644946,0.34356957603596966,0.7838093169152907
CellFlow_ESM2_1000k_fixed2000,MRPL54,112,2000,0.7073347420512685,0.70400623565687,0.7074762372987281,0.3913589224676789,0.3363818474159475,0.8595226006339545
CellFlow_ESM2_1000k_fixed2000,WDHD1,175,2000,0.8022381398713365,0.7445881174397768,0.8022381398713365,0.3795745830971002,0.3398374174322713,0.8953112869315161
CellFlow_ESM2_1000k_fixed2000,FCF1,225,2000,0.7489984958484087,0.6387883722841456,0.7491483255135114,0.421259555055499,0.3437133735259501,0.8159182652165239
CellFlow_ESM2_1000k_fixed2000,LSM4,68,2000,0.7893664097005476,0.6703963095054805,0.7896822826135931,0.37815804653540264,0.34916627212447704,0.9233342145965587
CellFlow_ESM2_1000k_fixed2000,IGBP1,245,2000,0.7170947353281888,0.5978622695803759,0.7172381829647818,0.4254176625394821,0.3429847625597187,0.8062306403782203
CellFlow_ESM2_1000k_fixed2000,SNRNP27,42,2000,0.705358953024576,0.6694392971187478,0.7062064007054224,0.40170761471152294,0.34917706322682474,0.8692318535840045
CellFlow_ESM2_1000k_fixed2000,GFM1,230,2000,0.8007967862595206,0.6613009726692768,0.8007967862595206,0.38307359870493407,0.3444642829490498,0.8992117314309077
CellFlow_ESM2_1000k_fixed2000,POLR2E,93,2000,0.7060983806718576,0.6852063117286155,0.7060983806718576,0.42065539508044714,0.3564356269866059,0.8473339999481055
CellFlow_ESM2_1000k_fixed2000,SNRPD1,113,2000,0.6304343156276251,0.46181003609739496,0.6306865902637305,0.4292861458599567,0.34454710114063325,0.8026047344816604
CellFlow_ESM2_1000k_fixed2000,RFC3,211,2000,0.8555009430527342,0.7447537421599146,0.8555009430527342,0.38056783038526776,0.34690603439011136,0.9115484746134123
CellFlow_ESM2_1000k_fixed2000,MRPS26,111,2000,0.7610205768044062,0.7443194261924181,0.7610205768044062,0.38779180944263936,0.34209732677958915,0.8821674662226618
CellFlow_ESM2_1000k_fixed2000,RCC1,162,2000,0.741425092852359,0.6808724727152028,0.741425092852359,0.3908314470380545,0.33587363546891286,0.8593822974597705
CellFlow_ESM2_1000k_fixed2000,NEDD1,134,2000,0.8426617694476641,0.7211719523970953,0.842830335514767,0.3803115476097167,0.34390753802154633,0.90427842946196
CellFlow_ESM2_1000k_fixed2000,DDX5,130,2000,0.804017258111278,0.7111359786014562,0.804017258111278,0.37791422990828766,0.3500194809350982,0.9261875948893619
CellFlow_ESM2_1000k_fixed2000,EIF2S1,208,2000,0.6016039267857747,0.35673159815427447,0.6016039267857747,0.46984952216625225,0.33930498548015986,0.72215669539094
CellFlow_ESM2_1000k_fixed2000,CUL1,181,2000,0.7418001560121282,0.7040811330667853,0.7419485457212724,0.3957018044650555,0.3435340343290619,0.8681639097194472
