condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
WDR43,47,2000,5000,1.407928499050059,0.4788252615654017,0.6543478797628088
WDR5,75,2000,5000,1.2414513780175649,0.5017561401558883,0.6865043400807843
WDR70,29,2000,5000,1.739752989609402,0.4924437056270973,0.8323308181433164
WDR82,86,2000,5000,1.298841459295463,0.4960967941986393,0.6478633321870028
WDTC1,107,2000,5000,1.0937338018583056,0.4944472822768041,0.5328764735384437
XPO1,139,2000,5000,1.0766800398169254,0.4877383056191655,0.5528274266039489
XRCC6,26,2000,5000,1.561123830489648,0.4597016253221146,0.7500479102432167
YEATS2,233,2000,5000,0.7647287296092162,0.4834325455317643,0.3527425764101264
ZBTB17,158,2000,5000,0.9275046692925002,0.5007339450199104,0.4660897599234181
ZCRB1,141,2000,5000,0.870984471142296,0.4825370858725758,0.4197087319616943
ZNF335,140,2000,5000,0.9128641038389902,0.4911007891558187,0.4442180748079971
ZNHIT6,116,2000,5000,1.002954760199374,0.4839321750968275,0.5024260397381279
