condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
NFRKB,223,2000,0.001986971590667963,0.028000690042972565,0.28054684793605805,0.28054684793605805,0.15369355494280812,0.2,0.1641780945236418,0.7935732783948609,0.5927397972363795,8.865469905258808,50
RPS14,156,2000,0.0016463325591757894,0.02252868004143238,0.8290720862161682,0.8290720862161682,0.7207073882068896,0.79,0.9006208438369504,0.8980744853178209,0.6320835894182218,8.937648890508267,50
SNRPG,325,2000,0.002131239976733923,0.02871120534837246,0.6944347408409013,0.6944347408409013,0.5759924610236984,0.41,0.4277982936995467,0.784288772627791,0.5832425587910428,9.395893722513094,50
MRPL38,132,2000,0.000667145533952862,0.017354682087898254,0.6032185910177086,0.6032185910177086,0.3555069014608082,0.51,0.5254424902956316,0.8794310446528598,0.6304311914958143,9.836201226145132,50
MAGOH,149,2000,0.004242601804435253,0.03836176544427872,0.3693791953819269,0.3693791953819269,0.2156463081458523,0.32,0.28036123666768376,0.9468280594076153,0.6508746852227654,9.837670984869328,50
DNTTIP2,235,2000,0.007402326911687851,0.04827623814344406,-0.2609517737412095,-0.2609517737412095,-0.21356183145959876,0.23,0.16067197856872606,0.8723735122067537,0.616484513598686,9.517177895888013,50
U2AF1,141,2000,0.0035102840047329664,0.03644219785928726,0.5838767657944682,0.5838767657944682,0.45909334952675224,0.42,0.3369958377398828,1.0103670986703328,0.68212386530919,9.884850312136216,50
NOL6,107,2000,0.00357246701605618,0.03605012968182564,0.6906872952781236,0.6906872952781236,0.4966820304191219,0.5,0.47928482437881814,1.0712543059099346,0.7118841636723634,11.05624120609905,50
SF3A2,236,2000,0.0018190429545938969,0.027584390714764595,0.7217536902649573,0.7217536902649573,0.6081694984999719,0.5,0.49006049623606884,0.8378601940338499,0.6077436233376521,8.646426067143631,50
TXN,81,2000,0.0017225685296580195,0.027160808444023132,0.49589625979472707,0.49589625979472707,0.36050510181611684,0.34,0.2699437438100902,1.018832006669321,0.6979784437675529,10.49448202619045,50
ORC5,89,2000,0.0017710397951304913,0.02788548544049263,0.3591976850277317,0.3591976850277317,0.08772422069507421,0.3,0.2641785510264736,1.0377279680946467,0.7131014018268843,10.887227279599088,50
DDX49,41,2000,0.0019504722440615296,0.029939958825707436,0.2538283843211343,0.2538283843211343,0.1116472924899303,0.3,0.19665267365877803,1.2779722627663945,0.7913282462362804,11.389478904301754,50
ANKRD11,184,2000,0.0034751754719763994,0.031126752495765686,-0.24959062664666093,-0.24959062664666093,0.02137751648761372,0.23,0.2272821673256706,0.7841266462529333,0.5989167203385223,9.499345449857428,50
