position_0based	gene
1498	LMNB1
1499	LINC01184
1500	CDC42SE2
1501	RAPGEF6
1502	FNIP1
1503	IRF1
1504	RAD50
1505	UQCRQ
1506	AFF4
1507	ZCCHC10
1508	HSPA4
1509	C5orf15
1510	VDAC1
1511	TCF7
1512	UBE2B
1513	SAR1B
1514	SEC24A
1515	CAMLG
1516	DDX46
1517	PITX1
1518	SMAD5
1519	AC106791.1
1520	FAM13B
1521	BRD8
1522	KIF20A
1523	CDC25C
1524	FAM53C
1525	EGR1
1526	ETF1
1527	CTNNA1
1528	SIL1
1529	SNHG4
1530	MATR3
1531	PAIP2
1532	PURA
1533	CYSTM1
1534	PFDN1
1535	ANKHD1
1536	SRA1
1537	EIF4EBP3
1538	NDUFA2
1539	IK
1540	TAF7
1541	DIAPH1
1542	RNF14
1543	NDFIP1
1544	NR3C1
1545	YIPF5
1546	LARS
1547	FBXO38
1548	CSNK1A1
1549	RPS14
1550	RBM22
1551	DCTN4
1552	TNIP1
1553	ANXA6
1554	CCDC69
1555	GM2A
1556	ATOX1
1557	FAM114A2
1558	GALNT10
1559	CNOT8
1560	MRPL22
1561	MED7
1562	RNF145
1563	PWWP2A
1564	SLU7
1565	PTTG1
1566	CCNG1
1567	HMMR
1568	RARS
1569	PANK3
1570	SPDL1
1571	DOCK2
1572	LCP2
1573	NPM1
1574	FBXW11
1575	STK10
1576	RPL26L1
1577	ATP6V0E1
1578	CREBRF
1579	CPEB4
1580	AC139493.2
1581	KIAA1191
1582	NOP16
1583	RNF44
1584	UIMC1
1585	ZNF346
1586	NSD1
1587	PDLIM7
1588	DOK3
1589	FAM193B
1590	TMED9
1591	FAM153CP
1592	NHP2
1593	HNRNPAB
1594	PHYKPL
1595	CLK4
1596	HNRNPH1
1597	CANX
1598	MAML1
1599	SQSTM1
1600	MRNIP
1601	RNF130
1602	MAPK9
1603	CNOT6
1604	MGAT1
1605	HEIH
1606	ZFP62
1607	TRIM41
1608	RACK1
1609	AC008443.1
1610	TRIM52
1611	DUSP22
1612	EXOC2
1613	FOXC1
1614	SERPINB1
1615	SERPINB9
1616	SERPINB6
1617	NQO2
1618	BPHL
1619	TUBB2A
1620	TUBB2B
1621	PSMG4
1622	SLC22A23
1623	PRPF4B
1624	ECI2
1625	CDYL
1626	SNRNP48
1627	SLC35B3
1628	TFAP2A
1629	TFAP2A-AS2
1630	C6orf52
1631	PAK1IP1
1632	TMEM14B
1633	SYCP2L
1634	HIVEP1
1635	PHACTR1
1636	TBC1D7
1637	NOL7
1638	RANBP9
1639	JARID2
1640	DTNBP1
1641	MYLIP
1642	GMPR
1643	FAM8A1
1644	NUP153
1645	KIF13A
1646	TPMT
1647	KDM1B
1648	MBOAT1
1649	CDKAL1
1650	SOX4
1651	C6orf62
1652	GMNN
1653	CARMIL1
1654	TRIM38
1655	HIST1H3B
1656	HIST1H1C
1657	HIST1H4C
1658	HIST1H2BC
1659	HIST1H2AC
1660	HIST1H1E
1661	HIST1H2BD
1662	HIST1H3D
