condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,chunk
GATA1,95.0,2000.0,2000.0,0.9250866944034486,0.7811376617844152,0.0673604718772763,0.0794165298541324,0.8253675848245621,0.0529320927638906,1.9986878482361277,0.3591651774904206,1.0207666404165785,1
GEMIN4,81.0,2000.0,2000.0,0.995445988159096,0.967883991470998,0.1802838492655329,0.1371750463452022,0.9904962321743368,0.0035111403851474,1.0407136291791386,0.222688995608249,0.3623888344266923,1
GGPS1,154.0,2000.0,2000.0,0.9976078450918632,0.9803639540909884,-0.1118806364178731,-0.0950202072550518,0.9951733639463782,0.0017920253590923,0.7148961804707302,0.1497610661512269,0.2052839505409676,1
GINS4,58.0,2000.0,2000.0,0.9950975023190732,0.9647937236984312,0.741631200965428,0.5749148547287136,0.989399210549891,0.0037367898714404,1.0974034971326727,0.1950995998423491,0.3489097339607111,1
GPKOW,105.0,2000.0,2000.0,0.9940907106590248,0.9619883719970928,0.3795795356125525,0.3634458863614715,0.9877128172665834,0.0045268477042649,0.9493226501636118,0.1711073788195747,0.2851531928296505,1
GPS1,372.0,2000.0,2000.0,0.998572748685728,0.9870516592629142,0.7149915205084401,0.5755862608965652,0.9971037998329848,0.0010664196885751,0.5047088122255967,0.098973652185838,0.1130520619673074,1
GTF2E2,69.0,2000.0,2000.0,0.9939354917998036,0.9588655257163816,0.3082807759302465,0.2475878389898052,0.9877852369099857,0.0043514096806881,1.2022057316906187,0.2186205902191804,0.4059145372430922,1
HARS2,62.0,2000.0,2000.0,0.9957639016446193,0.9627096411774104,0.525500379249104,0.3547386856846714,0.9915456362068652,0.0031051047378974,1.154789779296175,0.2176165799790957,0.3944123877067536,1
HIST1H2AE,121.0,2000.0,2000.0,0.9965892676421718,0.9732402123100528,0.010353375222367,0.0217098879437544,0.9929854813963176,0.0025804098617865,0.8283387909406489,0.1604693213324065,0.2383407526905899,1
HMGA1,107.0,2000.0,2000.0,0.9965971391762202,0.9742831160707792,0.1097774418270948,0.081869139967285,0.9927493049763144,0.0026766442325455,0.8584352402755197,0.1719914195338297,0.256952115732464,1
KIF14,106.0,2000.0,2000.0,0.997004338594436,0.97327216231804,0.2357154323422461,0.1904372936093234,0.9938995959237218,0.0022337860902054,0.7924435884190063,0.1339703534996764,0.2065452545682456,1
LSM2,299.0,2000.0,2000.0,0.9950682408407072,0.9740650370162596,0.8820736717737421,0.8208039337587848,0.9899842450395226,0.0035397161465696,0.5674627956909974,0.0836641638522953,0.1229622047542434,1
