model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio,csa_pearson,csa_spearman,n_corr_pairs
CellFlow_ESM2_1000k_fixed2000,RIOK1,290,2000,0.6969687269593436,0.6257428590054175,0.7179323516268475,0.421614397480339,0.34533205399908135,0.8190708288494467,0.8176085722660956,0.7211096963347833,4950
CellFlow_ESM2_1000k_fixed2000,RNF40,185,2000,0.7385209920139525,0.7004614011242538,0.7778818116852247,0.3883173496939241,0.3510209852013738,0.9039539064583447,0.5988057350335925,0.5013504798144479,4950
CellFlow_ESM2_1000k_fixed2000,RNGTT,110,2000,0.6897491738813198,0.6899013828592824,0.7251358009685869,0.40058006710410127,0.34695016617719093,0.8661193970168936,,,0
CellFlow_ESM2_1000k_fixed2000,RNMT,106,2000,0.6754572254867458,0.5459634316838398,0.7143160168007041,0.414614875953272,0.34425586272753783,0.8303027283718016,0.8194533929133017,0.7737509598510747,4950
CellFlow_ESM2_1000k_fixed2000,RPF1,108,2000,0.730323518552895,0.661316440678982,0.764096587730587,0.3953925150055438,0.3525548550917209,0.8916578885838994,0.5599222407305935,0.4833325679815908,4950
CellFlow_ESM2_1000k_fixed2000,RPL10,215,2000,0.7033180579846312,0.5734238763702804,0.7214998543133271,0.4237436842814088,0.34318676797326664,0.8098923493225584,0.6013573876479773,0.6239342359126369,4950
CellFlow_ESM2_1000k_fixed2000,RPL10A,195,2000,0.6732292532583299,0.5359081434851172,0.6969246928140063,0.42782846410736436,0.34190622498162104,0.7991666138787321,0.49315433485701105,0.4412838229399796,4950
CellFlow_ESM2_1000k_fixed2000,RPL11,315,2000,0.7344427680970879,0.6137908201571118,0.7501969030613768,0.41324824762478474,0.3448129951396586,0.8343967509155343,0.6423882226678828,0.6286636486764187,4950
CellFlow_ESM2_1000k_fixed2000,RPL13,243,2000,0.697857032837163,0.5704298683051714,0.7097813596797834,0.4253305866546185,0.34149400673192004,0.8028907805993828,0.6223854827392449,0.6355462590558496,4950
CellFlow_ESM2_1000k_fixed2000,RPL18,229,2000,0.727178585261317,0.6391513662183148,0.7405077242986934,0.4355206123497338,0.3487230138257892,0.8007038104220794,0.8386400743513085,0.8552914503400924,4950
CellFlow_ESM2_1000k_fixed2000,RPL35A,97,2000,0.738585588464031,0.6118901116283255,0.7565924897193518,0.4163474190427363,0.35282769208883874,0.8474357614610851,0.6816086835659243,0.6736365922710515,4950
CellFlow_ESM2_1000k_fixed2000,RPL8,290,2000,0.7204187715023743,0.6137614717140685,0.733474619733633,0.42933022275395705,0.34732167387075735,0.8089849152543878,0.7412952241585997,0.7291789654400209,4950
CellFlow_ESM2_1000k_fixed2000,RPL9,180,2000,0.6767311893281444,0.5273779764466829,0.69152992982643,0.43060480928592376,0.34000134586200126,0.7895902194539557,0.6048736593168634,0.5913142701373958,4950
CellFlow_ESM2_1000k_fixed2000,RPP14,53,2000,0.6600100169325995,0.6471805723635624,0.7297766662235731,0.40539724849246456,0.3481299671931566,0.8587378638797731,0.5513110257453997,0.5146972776494793,4950
CellFlow_ESM2_1000k_fixed2000,RPS14,156,2000,0.7156287873333931,0.6037249457392249,0.7386754617396708,0.42714285014271736,0.34990784505590805,0.8191822593752804,0.7635261408848686,0.7383703393113518,4950
CellFlow_ESM2_1000k_fixed2000,RPS19,410,2000,0.6853399748197501,0.5879429561572943,0.7000408322980082,0.4482168411993982,0.3475820903187246,0.7754775331257484,0.746406438267311,0.7145959345170909,4950
CellFlow_ESM2_1000k_fixed2000,RPS21,63,2000,0.6735326848338805,0.5961430346325697,0.730354245102885,0.40565923226222406,0.3461465080970899,0.8532938007271477,0.6017977701863515,0.548293631254312,4950
CellFlow_ESM2_1000k_fixed2000,RPS23,98,2000,0.6759420428179327,0.6066990767200879,0.7008938643902247,0.4313142765526473,0.34078253036659223,0.7901025977863625,0.7106978169661107,0.6938197920138675,4950
CellFlow_ESM2_1000k_fixed2000,RPS26,73,2000,0.6781966020885201,0.5860608487059947,0.7111961011834314,0.43635624503850934,0.35064562557186935,0.803576503278701,0.6085159588226023,0.5257627709110343,4950
CellFlow_ESM2_1000k_fixed2000,RPS5,127,2000,0.6767515812633077,0.48701221353632485,0.6923998171304561,0.4371357455231995,0.3438320626604558,0.7865567302187326,0.6421885235574885,0.5809087723887042,4950
CellFlow_ESM2_1000k_fixed2000,RPS6,165,2000,0.6624949166012464,0.5600561508184067,0.6899551308073801,0.4537977816817908,0.3497653065118753,0.7707514682324638,0.6117347027549401,0.5280865296328519,4950
