metric,n_high,n_low,gain_high,gain_low,interaction,ci_low,ci_high,permutation_p,contrast,stratifier,fdr_bh_within_contrast_stratifier
e_distance,136,136,0.00434298082501524,0.006907279264841376,-0.002564298439826136,-0.00920639482668565,0.0038255483245679674,0.44585541445855414,network,omnipath_has_any,0.999900009999
energy_pca50,136,136,0.00247458681438975,0.0019642051381990495,0.0005103816761907005,-0.004136456021342447,0.005210644135880133,0.831916808319168,network,omnipath_has_any,0.999900009999
kl_divergence,136,136,0.022377586765546263,0.01257222593800639,0.009805360827539873,-0.026886241223972852,0.04665219717017754,0.6112388761123888,network,omnipath_has_any,0.999900009999
mae,136,136,0.00048753072498549125,0.0004892529823872087,-1.7222574017174619e-06,-0.0009099559674117013,0.0008904830593154675,0.9971002899710029,network,omnipath_has_any,0.999900009999
mean_pcc,136,136,0.00039374058261413837,0.00038679028611421476,6.950296499923605e-06,-0.0006798887283313644,0.0006853350038408785,0.9823017698230176,network,omnipath_has_any,0.999900009999
mean_spearman,136,136,0.0009858137490134488,0.0009857006482759138,1.1310073753500322e-07,-0.0015052213101167519,0.0015739421478662917,0.9999000099990001,network,omnipath_has_any,0.999900009999
mmd_pca50,136,136,0.0014870051273208414,0.0006684650780691355,0.0008185400492517059,-0.002222880735336886,0.0037603160961622293,0.5991400859914009,network,omnipath_has_any,0.999900009999
mse,136,136,0.00010310756317945023,8.996391354194899e-05,1.3143649637501243e-05,-0.0001601077508181019,0.00018587620341029552,0.8883111688831117,network,omnipath_has_any,0.999900009999
pcc_delta,136,136,0.005098407240241876,0.030379014817556487,-0.02528060757731461,-0.060463001296086484,0.010485926855472909,0.1621837816218378,network,omnipath_has_any,0.6767323267673232
pra_all_genes,136,136,0.004653763696546094,0.0022841774675405905,0.0023695862290055037,-0.003217789661013468,0.008073384116102906,0.41275872412758724,network,omnipath_has_any,0.999900009999
pra_top100_true_de,136,136,0.007701339260084657,0.010140931273505151,-0.0024395920134204947,-0.01572635813027912,0.010948487601787618,0.7165283471652835,network,omnipath_has_any,0.999900009999
spearman_delta,136,136,0.00334607155064963,0.025108593023541778,-0.02176252147289215,-0.047705210643901784,0.004409158830628325,0.097990200979902,network,omnipath_has_any,0.6767323267673232
topk_de_overlap,136,136,0.0023284313725490196,0.020784313725490194,-0.018455882352941176,-0.04171629901960784,0.004852941176470588,0.12338766123387661,network,omnipath_has_any,0.6767323267673232
wasserstein,136,136,0.00656012175236672,0.008251036372583622,-0.001690914620216902,-0.011578699241495695,0.008303823205956453,0.7464253574642535,network,omnipath_has_any,0.999900009999
wasserstein_1_pca50,136,136,0.0019064923855956956,0.001536890284090485,0.0003696021015052106,-0.004756052495572427,0.005469512266548078,0.8863113688631137,network,omnipath_has_any,0.999900009999
