condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
EIF5A,100,2000,0.9885589801986951,0.943031727449269,0.4502806391477285,0.31974445654145217
SF3B2,197,2000,0.9842748502293034,0.9367495599884643,0.793411615736806,0.6965845038495342
ACTR8,242,2000,0.9933072181881663,0.948884677187387,0.16393293273327633,0.15193413243665815
EXOSC2,209,2000,0.9934259939942146,0.9682909437308768,0.8845089627713482,0.7110112190025772
ALG13,167,2000,0.9909936696849994,0.9519818841981229,-0.10752870262392915,-0.07704457690763214
CPSF3,575,2000,0.9928397354762244,0.952354359221031,0.6148410166967597,0.45893035000521387
RBM42,68,2000,0.9910128972398066,0.9397520577406363,0.1745619303079847,0.11435018147275167
CDC40,84,2000,0.9882920205055201,0.93329927189837,0.5944333189925528,0.45684387347464767
PPP1R11,69,2000,0.9916792501940528,0.9314793936742857,0.09694587501011134,0.0353389341344055
SF3B3,215,2000,0.9871419947463522,0.9414170924632778,0.6769712210576672,0.5666968603934751
MRPL54,112,2000,0.9966968243536212,0.962824407592084,0.4610116706088487,0.25031789503671575
WDHD1,175,2000,0.9941704119194109,0.9514997248759888,0.28396050631934594,0.1730812969677137
FCF1,225,2000,0.992030994792925,0.954043054897722,0.5658249713232115,0.4184588852123984
LSM4,68,2000,0.9945560144452764,0.9535960222147273,0.8107102508534177,0.6624926171557046
IGBP1,245,2000,0.988947993249663,0.9475076380603055,0.3924610464250949,0.284332527370949
SNRNP27,42,2000,0.9904405040489832,0.9324381151909363,0.1941342933580502,0.14385920688817877
GFM1,230,2000,0.9938466172617171,0.9623854171194166,0.13927829845009967,0.1569792722311709
POLR2E,93,2000,0.9874698746143562,0.9468041818081672,0.6848487352466585,0.4130983029338465
SNRPD1,113,2000,0.9898521414131884,0.9448570059289568,0.857936183788088,0.7768703998641057
RFC3,211,2000,0.997253421791144,0.9733037264201488,0.789586069445309,0.5702664110163428
MRPS26,111,2000,0.9964906512032343,0.9663182881567314,0.364516483252894,0.18356241178771296
RCC1,162,2000,0.9914992769536584,0.9515102880192479,0.05946888662661013,0.055613544112541755
NEDD1,134,2000,0.9899059062917448,0.9484079018083159,0.3249167781416856,0.20695615040514684
DDX5,130,2000,0.9888530631903395,0.9431556605968623,-0.17152480849968751,-0.08316469087057146
EIF2S1,208,2000,0.9745664070236996,0.9332074089442962,0.808349607929116,0.6578976988919079
CUL1,181,2000,0.9947354191401183,0.9565541737501669,0.1342841618654069,0.09742234263523183
KRI1,51,2000,0.968337617116808,0.8862503431721739,-0.014955368215723481,-0.037950105487825826
ZNF335,140,2000,0.9898701004696309,0.9442034748147998,-0.00305884610781813,0.05160484708819388
GPKOW,105,2000,0.9932961774695572,0.9340081768483269,0.40577858892362123,0.3003503813492237
POLR2F,209,2000,0.9964879639248782,0.9731727755029108,0.8894232984047188,0.7392662711243932
USP36,151,2000,0.9943109999101406,0.954616505999571,0.01674827214000015,-0.028179648648538575
NARS,149,2000,0.9769627273494406,0.8843149429885976,0.6834781457100084,0.5000129486005186
MRPL3,146,2000,0.9979270727620905,0.9734383668095345,0.6839735183139253,0.37840937338070235
RPL8,290,2000,0.9962384658845275,0.9792144063355783,0.9219574063709,0.8161360449654418
FASTKD5,182,2000,0.9871666002101287,0.9526213903837185,0.1688240818016362,0.13613928611757145
RNGTT,110,2000,0.9905697595583056,0.9498338744413548,0.32000301429776706,0.11890031102801242
POLR3D,108,2000,0.9765738784402418,0.9208169137606765,0.2639562950084213,0.22023845359882385
MED31,35,2000,0.9887369564815744,0.916723080024677,0.4561650200740989,0.2534740076330437
CSTF1,129,2000,0.9892358236241384,0.9146985301038467,0.1490365181781335,0.039483048523321934
TSR1,109,2000,0.9923356487011216,0.9522598168103926,0.6532054139388667,0.42746902945076115
MRPL4,109,2000,0.996874804094108,0.9700154394406175,0.5231608472978817,0.3181625498541379
MCM3AP,100,2000,0.9928976840661441,0.9475695309655229,0.38461854288398983,0.18235894733948774
TRMT5,93,2000,0.9897434373914209,0.9392781695391267,0.02067584282269776,0.03663044258697595
MRPS27,76,2000,0.995729692312418,0.9608966541478661,0.500464358966773,0.29632739544420766
RBM39,49,2000,0.9871616277068154,0.9092493952703736,0.1976794868978099,0.15892893502078598
HSPA8,146,2000,0.9744337374161337,0.9162405012695998,0.4414833902888732,0.3967096904923876
SURF6,113,2000,0.9899003511015508,0.9342701105292269,0.25568632195415225,0.15236469235424444
