position_0based	gene
1353	SP3
1354	BUD31
1355	SF3B4
1356	U2SURP
1357	CDC40
1358	PLRG1
1359	CHERP
1360	MARK3
1361	BRAP
1362	ZC3HAV1
1363	SPRED1
1364	FXR1
1365	MPRIP
1366	ANGPT1
1367	PTPRA
1368	AP3B1
1369	RASA1
1370	RANBP9
1371	SMARCA2
1372	ARID1B
1373	SS18
1374	RASA2
1375	POU3F2
1376	KSR1
1377	RASA3
1378	SS18L1
1379	MAP3K11
1380	GIT1
1381	DOCK2
1382	CEP97
1383	DOCK8
1384	WIPF1
1385	TAOK3
1386	GIT2
1387	FERMT2
1388	YKT6
1389	ARFGAP3
1390	ARAP1
1391	MCAM
1392	CDC42EP4
1393	ARHGAP1
1394	MYO6
1395	ITSN2
1396	PDLIM5
1397	OBSCN
1398	ABR
1399	HOMER3
1400	RBL2
1401	PPP1R37
1402	HOXB3
1403	LRPPRC
1404	PSME4
1405	NIPBL
1406	SNRNP25
1407	H2AFZ
1408	KLHL24
1409	CCPG1
1410	N4BP2L2
1411	MRPS15
1412	UQCRQ
1413	LSM7
1414	DNASE1
1415	CCDC18-AS1
1416	HMGN2
1417	ERV3-1
1418	LRRC8D
1419	CCNL1
1420	MT-ATP8
1421	MT-ND4L
1422	MT-ND3
1423	MT-CYB
1424	PUS7
1425	XPOT
1426	COX6C
1427	UQCRB
1428	MTIF2
1429	NDUFS1
1430	NDUFC2
1431	LDHA
1432	SLIRP
1433	MRPL12
1434	MRPS34
1435	MRPL20
1436	MRPL41
1437	NDUFB2
1438	NDUFB6
1439	MRPS24
1440	SOD2
1441	SNRPA1
1442	ATF5
1443	LONP1
1444	TXNRD2
1445	NPLOC4
1446	ME1
1447	HCFC1
1448	IL27RA
1449	GABPA
1450	CAST
1451	COX7A2L
1452	ATP7A
1453	ATXN3
1454	CHCHD3
1455	CRTC2
1456	SESN1
1457	PGD
1458	CRTC3
1459	G6PD
1460	EHMT2
1461	DOT1L
1462	ASH1L
1463	SETD2
1464	ATF7IP
1465	KMT5B
1466	NSD1
1467	TASOR
1468	ZNF708
1469	BRD1
1470	ZNF273
1471	MORC2
1472	SETDB1
1473	ZCCHC8
1474	ERCC6
1475	ZNF28
1476	ZNF317
1477	RRN3
1478	SETD7
1479	ZNF680
1480	KIT
1481	ZNF283
1482	BCLAF1
1483	MACF1
1484	CEP170
1485	CHML
1486	FRRS1
1487	PANK3
1488	PPP4R3A
1489	GOLIM4
1490	SMAP2
1491	HBZ
1492	HEMGN
1493	ANP32B
1494	GNPTAB
1495	ARL8B
1496	TMSB10
1497	TFPI
1498	STOML2
1499	SMU1
1500	GPAM
1501	PHF20L1
1502	SACM1L
1503	HSD17B4
1504	ACOT8
1505	PIK3C2A
1506	MBTPS2
1507	MED23
1508	MED20
1509	MED30
1510	MED31
1511	MED6
1512	MTF1
1513	KDM4B
1514	NFYA
1515	PSIP1
1516	TLE3
1517	LCLAT1
1518	AGPAT4
1519	FABP5
1520	MYO1C
1521	TRIOBP
1522	RALGAPA2
1523	TAF1C
1524	BAIAP2
1525	WIPF3
1526	WASF1
1527	TBC1D4
1528	RHOQ
1529	RETSAT
1530	TWF2
1531	RDH10
1532	DHRS3
1533	LDB1
1534	RDH11
1535	PLS1
1536	STX4
1537	MPP1
1538	RDX
1539	STXBP3
1540	HEXB
1541	HEXA
1542	PGLS
1543	NMRAL1
1544	GALK1
1545	B3GAT3
1546	SLC9A1
1547	BPGM
1548	ABCC5
1549	HYAL3
1550	IDS
1551	B4GALT4
1552	NUS1
1553	GLCE
1554	SAMD8
1555	B3GNT5
1556	CERT1
1557	SPTLC2
1558	PGM2L1
1559	CHP1
1560	LIN54
1561	HIST1H1E
1562	HIST1H1B
1563	HIST1H1D
1564	HIST2H2AC
1565	HIST1H2AH
1566	HIST1H2AG
1567	HIST1H1C
1568	NEAT1
1569	RRM1
1570	SNHG29
1571	ZGRF1
1572	NAA50
1573	TRIP12
