condition,source_coverage,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,pcc_delta,spearman_delta,topk_de_overlap,auprc,pra_all_genes,pra_top100_true_de,true_range_mean,pred_range_mean,range_width_ratio
POLR3E,3,192,165,0.9472354188349004,0.7980483523223579,0.015363642884925293,0.05502199874290193,0.18,0.14622440223468722,0.893472657926243,0.8196088356129784,0.441891674446231,0.5284883012066024,1.1959679709042101
POLR3F,3,156,129,0.9357985648959535,0.7614420670510473,0.07773076211512735,0.06388703132035835,0.12,0.1157216331986048,0.8727508844355382,0.844307800806147,0.44871616315625623,0.5317834858678121,1.185122172279334
POLRMT,3,208,460,0.9267329191977639,0.7919550293767273,0.5738793016818233,-0.05636879774375212,0.18,0.17689060644624918,0.902760393952215,0.7423085336607542,0.46792567959922177,0.5476328638117753,1.1703415221353262
POP4,3,116,245,0.9344025899467263,0.7781175368165879,0.18685814793364647,0.008129419481022889,0.31,0.2022565166704699,0.9058007471899561,0.823080183287228,0.45843266135944066,0.5617513761315538,1.2253737816411097
POP5,3,50,318,0.9383887488457063,0.7931810692034125,0.17072836883980144,0.060805416156670566,0.28,0.19647568925305986,0.9052991700004815,0.8168394675166551,0.45096806387610405,0.5610774529577724,1.244162248860036
POP7,3,196,225,0.9371554252359272,0.7769594943918774,0.18059664628459163,0.06260896442852448,0.25,0.17727183038290217,0.9150266730789786,0.7984817898068579,0.45604118043979125,0.5812022352560039,1.274451184322871
PPARGC1B,1,129,77,0.8697220314665353,0.6746095305161981,0.044127627133777485,0.011078808818574716,0.15,0.10622786806268221,0.7931945172340454,0.6843888559960389,0.44266110052374646,0.46650173942911893,1.053857518400848
PPIE,2,39,66,0.9321129278023519,0.7263736370767144,0.21761285824360763,0.17124100312329063,0.22,0.13887825866052647,0.8379725615987705,0.7604026812299773,0.43672034054336667,0.5117432314342417,1.1717870046530503
PPIH,3,93,137,0.9449896745419952,0.7877190448976839,0.24843382298607705,0.19359540132477654,0.27,0.22234508600335254,0.8765775617161065,0.7879597097450679,0.457982094463201,0.5294821290810524,1.1561196909683977
PPIL4,3,69,191,0.9422950881740987,0.7804800960507828,0.29104616759199,0.23190869381063936,0.24,0.16149767350753017,0.8571013853997491,0.7917417914371397,0.4566979764611739,0.5159251866306496,1.1296857046128248
PPP1R11,3,69,180,0.9472353199720349,0.7860571278198297,0.15623379672791862,0.12183485558141097,0.09,0.10143825048172751,0.8858313698035173,0.8701604102779262,0.4311672962739673,0.5235255912835387,1.2142052137665702
PPP1R8,3,64,293,0.9343439530440347,0.7755453780093385,0.07325360234693871,0.1046653056768748,0.11,0.09217163641244502,0.8504755594720113,0.7941835927974813,0.4405130308761589,0.5056231733153714,1.147805232530033
PPP2R1A,3,301,806,0.9451126578315566,0.8085915873432489,0.12133518438707504,0.10228563470555406,0.2,0.13852540583739115,0.8985018237822906,0.809911522341195,0.46597734240810595,0.5381202697753906,1.154820651678585
