model,context,condition,n_true_cells,n_pred_cells,n_tfs,tf_activity_mean_pcc,tf_activity_mean_spearman,tf_activity_delta_pcc,tf_activity_delta_spearman,tf_activity_topk_overlap,tf_activity_auprc
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BOP1,103,2000,86,0.9961564300059204,0.9947356007358837,0.661897052647798,0.645870088211708,0.56,0.6679866929046545
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BRD8,68,2000,86,0.9868778150754357,0.9864521911410915,-0.19340932939399944,-0.0718807490919383,0.48,0.4578770261907654
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BRIX1,95,2000,86,0.9898343964079441,0.9899429218359356,0.8415683675917501,0.8164441718949007,0.52,0.6249406411036983
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BTF3,70,2000,86,0.9877562612754186,0.9872635501674606,0.5465974391897915,0.4428039058446152,0.56,0.6151312232380367
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BUB3,246,2000,86,0.9950028657961417,0.9921883107693759,0.3339362882604924,0.37608377753667627,0.4,0.4577923974118918
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BUD13,160,2000,86,0.9912042753542766,0.9897731025048351,0.7070622935275653,0.6642294447851314,0.6,0.6310342869818467
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BUD31,15,2000,86,0.977896943461131,0.9733949714609179,0.4751410979804715,0.45693664795509215,0.4,0.40545804193459517
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,BYSL,87,2000,86,0.9869033304737994,0.9863012406245577,0.14242297679193752,0.20277371574130854,0.24,0.28308808095348176
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,C12orf45,94,2000,86,0.9927875835094085,0.9899051842068022,0.39480227138698454,0.36095098825416294,0.44,0.5515979216747031
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,C1QBP,189,2000,86,0.9969776743205984,0.9952827963583187,0.5749801019737872,0.5010519364120948,0.4,0.44595403401731437
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CACTIN,55,2000,86,0.9871068541990395,0.9843766215387518,0.7147463639993904,0.7100051889240058,0.52,0.6463016300242467
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CAPZB,64,2000,86,0.9965730476705602,0.9933581772725127,0.35878902760753,0.3393650643898297,0.4,0.4165612075350265
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CASP8AP2,192,2000,86,0.9930745453449673,0.9929053257229115,0.1366268225173125,0.2336430963724704,0.52,0.5438199614078878
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CBLL1,93,2000,86,0.997019137040714,0.9953016651728854,0.2598102386731748,0.24036039435822446,0.4,0.36326315186752184
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCDC174,97,2000,86,0.9949635794650912,0.992792112835511,0.6019277613725931,0.5407896598896175,0.56,0.6537042701302666
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCDC59,100,2000,86,0.9967347341169841,0.9937355535638474,0.49258130582783993,0.4176895136563045,0.48,0.5464322331602898
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCDC84,77,2000,86,0.9960250039158043,0.9920939666965422,0.6652104006134356,0.6741544412472287,0.44,0.4975163619857071
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCDC86,235,2000,86,0.995558714195547,0.993150620312279,0.7100110244488904,0.6575687532430774,0.64,0.7475691271999965
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCNH,75,2000,86,0.9964921708586506,0.9945280437756499,0.7673536568615674,0.7691966602198216,0.48,0.5128096283473664
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCNK,211,2000,86,0.9988374436829333,0.9983395443181282,-0.048211676121900256,0.026972970423133163,0.28,0.35164160514001025
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCT2,178,2000,86,0.9894895955742267,0.9871503372800604,0.5549047821920493,0.5648096608330581,0.44,0.4462718726456358
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCT3,220,2000,86,0.9885753473775766,0.9881503844520968,0.37303109480186747,0.4636162083117128,0.36,0.43823126769590975
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCT4,217,2000,86,0.9834845380427134,0.9824897400820795,0.4664919150448777,0.5190905231378838,0.4,0.5112973207268823
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCT5,64,2000,86,0.9758094423318172,0.973734610123119,0.30944106118920855,0.3857634794094061,0.32,0.35412394742812503
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCT6A,97,2000,86,0.9885226904539065,0.9895278079154678,0.3901179778761302,0.4003868106986178,0.48,0.41170360014947693
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCT7,141,2000,86,0.9775642138193088,0.9768668333411954,0.4963904452036405,0.520581159488655,0.48,0.5021354108113826
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CCT8,97,2000,86,0.9949269586609057,0.9916411151469409,0.48917858015672616,0.4772960988725882,0.48,0.44522180337041106
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CD3EAP,85,2000,86,0.9890111164907632,0.9885654983725647,0.3059870789289083,0.33013821406670124,0.44,0.4342737548928449
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDAN1,137,2000,86,0.9874646156600454,0.9838482947308834,0.3778577980634933,0.2479833954431813,0.32,0.4869036243312518
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC123,96,2000,86,0.9819418646870891,0.9771687343742629,0.34937856346063184,0.3079484881362328,0.4,0.40284179444942225
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC16,142,2000,86,0.9970546315210342,0.9960564177555544,0.7311833629205466,0.6780036794188405,0.52,0.5850022590018886
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC23,158,2000,86,0.9900825614366002,0.9900750035379026,0.47553684893574655,0.3752346808811737,0.44,0.5193718204679467
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC27,245,2000,86,0.9958376667003273,0.9949054200669843,0.7116077887836505,0.6300768904193594,0.52,0.5310021879354087
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC40,84,2000,86,0.9904237059633838,0.9830180668899475,0.7832016981632292,0.7230812774187461,0.64,0.6899970434886529
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC5L,77,2000,86,0.9738917478655618,0.9710175008255105,0.8215912131521831,0.8218783904901173,0.6,0.6945115471110864
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC6,153,2000,86,0.9741020427993382,0.9730364639841501,0.5213636481602352,0.4043869993867635,0.48,0.5188242090977602
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDC73,140,2000,86,0.9698665788264563,0.9725270059908486,0.4216000732977914,0.454408226803151,0.44,0.37719706961933885
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDK1,239,2000,86,0.994654231182335,0.9920184914382753,0.7577008060477473,0.7394028020189631,0.76,0.7010809282505434
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CDK9,134,2000,86,0.997435862987597,0.9973017595169582,0.47256722108124016,0.49595735647907924,0.56,0.4410136438995236
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CEBPZ,89,2000,86,0.9888215505753793,0.9878862210481627,0.6724395820853629,0.6692296806453134,0.6,0.7232010256756072
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CENPC,116,2000,86,0.9962937637666084,0.994848813623284,0.6437678446516827,0.5636209255153545,0.44,0.5670309929175923
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CENPE,171,2000,86,0.9848943156507073,0.9840369828765507,0.48899498965736854,0.390707108825888,0.36,0.39690004306283094
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CENPJ,265,2000,86,0.9872553129848488,0.9841879333930845,0.42113094979453425,0.3750082551063729,0.52,0.492209426337138
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CENPK,93,2000,86,0.9902289611175986,0.9881881220812302,0.7619508686979848,0.6917967828671163,0.56,0.6917361270129412
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CEP192,184,2000,86,0.9956618648304104,0.9945469125902164,0.7210556731590931,0.6463040709467427,0.56,0.7036991028238657
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHAF1A,33,2000,86,0.980087569546412,0.9768290957120618,0.2811033268312326,0.2515118637671588,0.32,0.378794407860695
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHAF1B,82,2000,86,0.990112336784808,0.9876975329024954,0.4438573119836507,0.415047879616963,0.6,0.6521200880503927
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHCHD4,132,2000,86,0.9937483510001884,0.9910939195245059,0.6121472593460473,0.5562998254634652,0.4,0.5227418925628168
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHD4,33,2000,86,0.9927102882796518,0.9932449643851123,0.5324342127438132,0.5436011132600594,0.6,0.6007689408557491
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,CHEK1,205,2000,86,0.9865055561544828,0.98703712439266,0.52885999467396,0.45272890230671253,0.52,0.6180589824019224
