condition,n_true_cells,n_pred_cells,mean_pearson,mean_spearman,delta_pearson,delta_spearman
MRPL49,36,2000,0.9868693947792053,0.9319368008273747,0.021031411364674568,-0.02553587607866077
MRPL50,147,2000,0.9944783449172974,0.9699462483018498,0.021080641075968742,0.018605235721995534
MRPL54,112,2000,0.9942044615745544,0.9607508637881509,-0.01716693863272667,-0.02449783528450136
MRPS11,90,2000,0.990609884262085,0.950906228683071,0.17990373075008392,0.07860344282413771
MRPS14,82,2000,0.9824323058128357,0.947723927988957,-0.18857306241989136,-0.002778116607258013
MRPS18A,108,2000,0.9920469522476196,0.959091653147666,0.010777940973639488,0.006411834736935042
MRPS24,132,2000,0.9934965968132019,0.9670034484153461,-0.050078243017196655,0.0046064969684809914
MRPS26,111,2000,0.9942799806594849,0.964595588246124,0.3341013193130493,0.16172790860052372
MRPS27,76,2000,0.9893925189971924,0.9529679134147165,-0.0021704845130443573,0.02453867791072498
MTPAP,86,2000,0.9697414040565491,0.9512177557971979,0.013991981744766235,-0.04965584085142537
MZT1,381,2000,0.9945095181465149,0.9742957042272113,-0.023646816611289978,0.011896685613295025
NAA15,107,2000,0.9933805465698242,0.9607330441253216,0.30483055114746094,0.15952896125664454
NARS,149,2000,0.9870516061782837,0.9497138566765543,0.4985894560813904,0.34943918815434066
NBAS,94,2000,0.99263596534729,0.9561247362359365,0.044918492436409,0.051065314586612585
NCAPH,64,2000,0.9893162250518799,0.9409272439730896,0.1442878544330597,0.08449700997999213
NDC80,171,2000,0.9937242865562439,0.9633211889648474,0.3094496726989746,0.18831395366507767
NDUFA8,85,2000,0.9906192421913147,0.9515514163660567,-0.09181033074855804,-0.09955597157101753
NEDD1,134,2000,0.9942883253097534,0.9687843811833752,0.3724173307418823,0.2381578107274598
NELFA,82,2000,0.9857409000396729,0.9382762098160855,0.1731049120426178,0.09083283315549331
NFRKB,223,2000,0.9911803007125854,0.9641010740823199,-0.149446040391922,-0.02436249390308446
NOL6,107,2000,0.9846718311309814,0.9508105286792407,0.4642316401004791,0.2234249674223609
NOP10,124,2000,0.9937514066696167,0.9654357428414295,0.6018555760383606,0.3060840917460558
NRBP1,62,2000,0.9912818670272827,0.9415576758966966,0.2828938364982605,0.14297359532923792
NSA2,71,2000,0.9902781248092651,0.9572653505375883,0.45252808928489685,0.31682735664109424
NUBP1,144,2000,0.9920703172683716,0.9550145183925806,0.23666152358055115,0.12473228932828515
NUDC,106,2000,0.9927341938018799,0.9537964086158562,0.26546943187713623,0.15415693903397734
NUP54,266,2000,0.9869022369384766,0.9514485631139423,0.463676393032074,0.3426841701955912
NUTF2,44,2000,0.9785405397415161,0.9128659809797068,0.1819796860218048,0.08653271818130871
OGFOD1,101,2000,0.9861807823181152,0.9371426535306892,0.05953771248459816,0.026701079005324813
OPA1,53,2000,0.9924525022506714,0.9476546731163679,0.16435682773590088,0.0735033930858998
ORC5,89,2000,0.9922575950622559,0.9587943180227837,0.1469523310661316,0.08916846750701876
OXA1L,305,2000,0.9897983074188232,0.9615516303020649,0.10485011339187622,0.06320259978065458
PAM16,43,2000,0.9821211099624634,0.9153216486359903,0.45912477374076843,0.3290707533307279
PCF11,393,2000,0.9896034598350525,0.9561182987887319,0.19149911403656006,0.1033969079118763
PDCD2,59,2000,0.993385910987854,0.9528259238616404,0.4564884305000305,0.1261714622529147
PET117,80,2000,0.991320013999939,0.9582478606339142,0.1201910525560379,0.053461319979735876
PGPEP1,51,2000,0.9901213645935059,0.9334493695236414,0.22268271446228027,0.14158133990325358
PHF5A,197,2000,0.9841357469558716,0.9375925693117027,0.266952782869339,0.2467636921383924
PIAS4,173,2000,0.9897580146789551,0.9549962995827719,0.17087554931640625,0.10194025291450326
POLA1,195,2000,0.9928586483001709,0.9669780108623278,0.5878441333770752,0.40939845875376385
POLD2,63,2000,0.9907164573669434,0.947483906450096,0.3753540515899658,0.19317766752837928
POLE,154,2000,0.9934669733047485,0.9639603618864143,0.6274861097335815,0.4550129219234371
POLR1E,202,2000,0.9954619407653809,0.9727356055727698,0.5622268319129944,0.33050320342006023
POLR2E,93,2000,0.9929324984550476,0.9571934269987098,0.5889372229576111,0.3428993206522024
POLR2F,209,2000,0.9894049763679504,0.948086731011469,0.5588602423667908,0.3243175956918383
POLR3B,109,2000,0.9909149408340454,0.9543870059194801,0.2713945209980011,0.17645796668702363
POLR3C,169,2000,0.9924688339233398,0.9625419629816784,0.21342457830905914,0.1350082527220507
POLR3D,108,2000,0.9938188791275024,0.9598509469380377,0.3035909831523895,0.15293218740095785
POLR3F,156,2000,0.9952476620674133,0.9672704679388187,0.32503077387809753,0.1552775298505545
POP4,116,2000,0.9932446479797363,0.9642945778357831,0.38804876804351807,0.17107100407894588
PPP1R11,69,2000,0.9883068799972534,0.9435549983871063,0.03405466675758362,0.05461870231274809
PPP4R2,162,2000,0.9917032718658447,0.9617703379908135,0.12799468636512756,0.10529721666999718
PRELID1,122,2000,0.9919475317001343,0.9579175574527021,0.06611678004264832,0.048431868785274744
PRPF3,129,2000,0.9854280948638916,0.9392061880133293,0.48938649892807007,0.4263144630468101
PRPF31,23,2000,0.9666111469268799,0.8477623425574925,0.08590070903301239,0.12200323966412958
PRPF4B,160,2000,0.991291344165802,0.9586747565939985,-0.0006166268140077591,0.0342674171795191
PRPF8,91,2000,0.9870057106018066,0.9423732859829314,0.35945820808410645,0.3235772304946209
PSMA2,38,2000,0.9901779890060425,0.9318155170560433,0.31757673621177673,0.20838524196740965
PSMA3,194,2000,0.9810197353363037,0.9501073997642958,0.5691153407096863,0.46208810857461446
PSMA6,18,2000,0.9843188524246216,0.9022666726792399,0.3427075743675232,0.23642580504670643
PSMB1,106,2000,0.9937146902084351,0.9633133722107741,0.38796958327293396,0.2422383429055337
PSMD1,87,2000,0.9930366277694702,0.9563226029228077,0.512360155582428,0.3539941904412552
PSMD4,285,2000,0.9876415729522705,0.9524039828961592,0.2966306209564209,0.1270330581053223
PSMD7,175,2000,0.9563490152359009,0.9002848662833945,0.13754722476005554,0.04896581149463246
PTCD1,246,2000,0.9926379323005676,0.9709016104593661,0.10180165618658066,0.13459446452300886
PUF60,52,2000,0.9896239638328552,0.9218921401628142,0.3002891540527344,0.16487198167479314
PWP2,51,2000,0.9905828237533569,0.9444699297948044,0.6664061546325684,0.3766072784263683
QARS,376,2000,0.9808377027511597,0.9470629712972485,0.2531454265117645,0.222114812799254
RARS2,139,2000,0.9941858053207397,0.9670243967201846,0.42018842697143555,0.31508836281065883
RBM19,37,2000,0.9863901138305664,0.9250712071279148,0.27636176347732544,0.07926115833844631
RBM28,55,2000,0.9930137395858765,0.9569058119889927,0.5985649228096008,0.42891377845713896
RBM39,49,2000,0.9898200035095215,0.9287708235914474,0.3900461196899414,0.30141922488876893
RBM42,68,2000,0.9884684085845947,0.9433956307504666,0.010263746604323387,0.07005306193812247
RBX1,41,2000,0.9833325147628784,0.9169208715352021,0.09068377315998077,0.028042936723736558
RCC1,162,2000,0.9929250478744507,0.9635018491640739,0.170327290892601,0.11526368501331373
RFC3,211,2000,0.9943702816963196,0.9723334814533391,0.4659559428691864,0.3332971023398824
RFC4,58,2000,0.9940961003303528,0.955593076431723,0.39396244287490845,0.26525640773025627
RIOK1,290,2000,0.9930233955383301,0.9737388787169249,0.6043566465377808,0.38322883674874597
RNF40,185,2000,0.9923973083496094,0.96670625306825,0.3025653660297394,0.2527978317560476
RNGTT,110,2000,0.9930880069732666,0.9563104686913703,0.22383108735084534,0.06308192863527713
RNMT,106,2000,0.9894648790359497,0.9574658101136116,0.25839659571647644,0.09156721547288622
RPF1,108,2000,0.9902675151824951,0.9601222377648895,0.4079999029636383,0.30282743396909734
RPL10,215,2000,0.9894661903381348,0.9713493929979756,0.6809774041175842,0.5591361593868657
RPL10A,195,2000,0.98536616563797,0.9575016475620262,0.398404985666275,0.2860451579698063
RPL11,315,2000,0.9917353391647339,0.9755577921103117,0.6788712739944458,0.5797787551271502
RPL13,243,2000,0.9870543479919434,0.971042317688303,0.6090552806854248,0.5048321104774004
RPL18,229,2000,0.9948212504386902,0.9813687296547491,0.8998051881790161,0.7990853993617723
RPL35A,97,2000,0.9887748956680298,0.968579277077663,0.7209818363189697,0.6491947852317913
RPL8,290,2000,0.9909976720809937,0.9736233358716673,0.7929893732070923,0.6779566930225387
RPL9,180,2000,0.9856917262077332,0.9596530809461231,0.5775198340415955,0.45968916657956654
RPP14,53,2000,0.9917545318603516,0.948301078168616,0.5450502038002014,0.23544849059159037
RPS14,156,2000,0.9822592735290527,0.9560122119684883,0.6863179206848145,0.6023405019960762
RPS19,410,2000,0.9863983392715454,0.9704895498581654,0.5891847610473633,0.47117396844695864
RPS21,63,2000,0.9915376901626587,0.9556671817605591,0.48761066794395447,0.2838119581272898
RPS23,98,2000,0.9877884984016418,0.9663433587249266,0.7218972444534302,0.6260232039359528
RPS26,73,2000,0.9857962131500244,0.955443881673755,0.7173649072647095,0.5603744319964262
RPS5,127,2000,0.9828165769577026,0.9598711421938826,0.455048143863678,0.3265744482868157
RPS6,165,2000,0.9835218191146851,0.9629467489178698,0.6794169545173645,0.547671776946871
RRN3,38,2000,0.9871444702148438,0.9283419000934783,0.5448273420333862,0.3353520424701787
RRP7A,40,2000,0.9903693199157715,0.9341913172691445,0.6587098240852356,0.3457348574702872
