gene_rank,mean_delta_vs_control,q10_vs_control,q90_vs_control,min_vs_control,max_vs_control,abs_mean_delta
77,0.13359671947040438,-0.23391712043802726,0.5157036839065876,-0.6589250985298671,2.6713532416856416,0.13359671947040438
78,-0.13326890008008171,-0.44526086394176323,0.18315014557182296,-1.0424233595739159,0.92389262238275,0.13326890008008171
79,0.13109642113960776,-0.1932976277209157,0.43499727259888565,-2.019186544736875,2.1299581057488677,0.13109642113960776
80,-0.1306423907656352,-0.4636353606432697,0.17663069947130544,-1.4052646267509763,1.0539538923862743,0.1306423907656352
81,0.12722535880065797,-0.184206597988667,0.4366726761177925,-0.9946081401802243,0.7313948915848094,0.12722535880065797
82,0.12663715228144617,-0.16895038173051,0.4366691624534357,-0.5790343667442721,0.9994669145580974,0.12663715228144617
83,-0.12093807879412817,-0.4990628945354158,0.26520313467043966,-0.885311321500863,0.7075145547979644,0.12093807879412817
84,0.12035360697440449,-0.18689816544245186,0.4191472516139665,-0.8958060678902315,1.8873337935241665,0.12035360697440449
85,-0.1178531827479924,-0.44186744665276967,0.2015027461515211,-1.182155466849356,1.3873428069513265,0.1178531827479924
86,0.11768589123565303,-0.2493871323419957,0.4377946297770887,-0.8014683417456214,0.8390833035708666,0.11768589123565303
87,0.11546079002279708,-0.19854411653245607,0.4883395905009902,-0.7662391764152534,0.9194205959704806,0.11546079002279708
88,-0.11430602525181535,-0.4638213775729782,0.25404988561481556,-0.8591492450690261,1.6747133666172573,0.11430602525181535
89,-0.11074759660823279,-0.4394015192054577,0.22423157897360022,-0.854826887629539,0.6565095110244145,0.11074759660823279
90,-0.10859282577864453,-0.4518590960642972,0.21780425035911583,-0.973815934429621,0.8933694452440527,0.10859282577864453
91,-0.10725486193209531,-0.41223606999302814,0.18329249740447034,-1.5702486200793015,0.9617321859766014,0.10725486193209531
92,-0.10678385196511139,-0.3836857604206578,0.22434523563299882,-2.5565056009133165,0.8957753841657576,0.10678385196511139
93,-0.10663617476649648,-0.4597565933305981,0.2010682323735744,-1.1379134357027998,1.2972426666050096,0.10663617476649648
94,-0.10596361088566704,-0.4546855067737112,0.26316515446507394,-1.0943920334187542,0.6835318542137806,0.10596361088566704
95,-0.10215626171973008,-0.3794410932298425,0.1917645709453052,-0.7146503876788335,0.45983098232507924,0.10215626171973008
96,0.10069247054507757,-0.26739018729551217,0.4572418651692059,-0.993320309381617,1.2971254072205662,0.10069247054507757
97,-0.10068363684392194,-0.4220059102387581,0.20970143364363497,-1.8156327342498793,0.6782059280568962,0.10068363684392194
98,-0.09778935496475277,-0.4650068547299017,0.23828959368882316,-0.8985140035598135,2.0376563078931054,0.09778935496475277
99,0.09725655775799759,-0.24409070321595666,0.40401437201593043,-1.2559583932117155,1.3131733340048157,0.09725655775799759
100,0.0957309304313301,-0.20218929148748224,0.35016251732750087,-0.8771036751468255,1.0142316204629573,0.0957309304313301
101,-0.09454747235407936,-0.42963200123354467,0.20345371949954089,-0.855523567230257,1.2814997513609432,0.09454747235407936
