rank,gene,mean_delta_vs_control,q10_delta_vs_control,q90_delta_vs_control,min_delta_vs_control,max_delta_vs_control,abs_mean_delta_rank_value
109,CDKN3,-0.3758452129243461,-0.6277496908894448,0.41896373283949795,-0.6277496908894448,1.396084299207601,0.3758452129243461
110,XRCC6,-0.37583208248023947,-1.5339950194825132,0.2967622408400575,-1.5339950194825132,0.6917888054381411,0.37583208248023947
111,NUSAP1,-0.3756273267383055,-0.6315525411446631,0.28168847572011324,-0.6315525411446631,1.4023539186636866,0.3756273267383055
112,HMMR,-0.3731815869026365,-0.5451833555175019,0.2069162300156402,-0.5451833555175019,1.0652152946518707,0.3731815869026365
113,CKS1B,-0.3716333895787865,-0.9941122586442854,0.6017634337232682,-0.9941122586442854,1.3427493517683122,0.3716333895787865
114,HNRNPA3,-0.3711064157463724,-1.1796859205256138,0.35344490404027357,-1.7910732329378758,1.0479315220822658,0.3711064157463724
115,SNRPF,-0.3660669114435035,-1.4043196503236104,0.3573004897520727,-1.4043196503236104,0.9985905822203349,0.3660669114435035
116,HMGN1,-0.36552113662781777,-1.1796662536614642,0.5087343248373761,-1.917471500968288,1.0068263086325422,0.36552113662781777
117,JPT1,-0.3654625190113538,-1.4409746576859153,0.4296116660521828,-1.4409746576859153,0.9948392461226785,0.3654625190113538
118,RAD23A,-0.3653845351656328,-1.0260892193652684,0.1937825400494043,-1.0260892193652684,0.9902016837261622,0.3653845351656328
119,RRM1,-0.3650285403136881,-0.6551542160783587,0.25633159896985896,-0.6551542160783587,1.246171128961009,0.3650285403136881
120,CCNB1,-0.3628750022535285,-0.7994580334997201,0.6251762323999378,-0.7994580334997201,1.7847351961755729,0.3628750022535285
121,CKS2,-0.3628666259029203,-1.0994946886125567,0.5847234319623941,-1.0994946886125567,1.795031316178703,0.3628666259029203
122,MAZ,-0.36264896584794215,-1.0352401977318633,0.29282302801429144,-1.0352401977318633,0.9274853224021089,0.36264896584794215
123,MCM4,-0.36200162592935015,-0.7269594387532604,0.3542741580484973,-0.7269594387532604,1.19084468321787,0.36200162592935015
124,LSM5,-0.36069614739729466,-1.1958048352633768,0.41545112043272914,-1.1958048352633768,0.9685809603298849,0.36069614739729466
125,C1QBP,-0.3606354983460468,-1.0474092793277467,0.3042458105274472,-1.885728974323627,0.7310362863727842,0.3606354983460468
126,NAE1,-0.35816467891336523,-0.9318499106314087,0.37618956385589597,-0.9318499106314087,1.5305121403787232,0.35816467891336523
127,EZH2,-0.3577318807645633,-0.6111045700938678,0.3234914200871014,-0.6111045700938678,1.1315583365528608,0.3577318807645633
128,CTSD,0.3573485239895288,-0.728479242798516,1.350623321059516,-0.728479242798516,2.450452231887153,0.3573485239895288
129,CTSB,0.35733095776830115,-0.45452968220737844,1.0899659480569035,-0.45452968220737844,2.080242713880268,0.35733095776830115
130,CAST,0.3573070063823114,-0.5247725582554257,1.1851092719600282,-0.5247725582554257,1.9525295161769474,0.3573070063823114
131,NOP56,-0.356197320077495,-1.3017217095743936,0.4748812262166217,-1.3017217095743936,1.0144027296651084,0.356197320077495
132,RBM8A,-0.3554222411663194,-1.3309898333597134,0.3828468842458774,-1.3309898333597134,0.8764188332510043,0.3554222411663194
133,DSTN,0.3513311060858564,-1.1657900205543332,1.3317746290275758,-1.1657900205543332,2.0472460397789187,0.3513311060858564
134,CD151,0.3509932839536824,-0.7225687378264852,1.3698358661316448,-0.7225687378264852,2.018874657788139,0.3509932839536824
135,TMPO,-0.3500426063277386,-0.9878377002823114,0.5942687230956792,-0.9878377002823114,1.2148574310195683,0.3500426063277386
136,NQO1,0.3494435304279811,-0.7315872965997151,1.3868917645269936,-0.7315872965997151,2.344239825134904,0.3494435304279811
137,SMC1A,-0.3480920448518101,-0.8079742311133928,0.3766429067955427,-0.8079742311133928,1.3406783224449568,0.3480920448518101
138,TCP1,-0.3477811019753794,-1.5171865016674762,0.31826104815247,-1.5171865016674762,0.9196175545001264,0.3477811019753794
139,ERH,-0.3474810330514047,-1.0378511160802344,0.21339118776803218,-1.5973206013631323,0.7981917410898707,0.3474810330514047
140,MT-ND3,0.3464704742853086,-0.21731765731744934,0.9818705751044257,-1.1635227964776056,1.2778171731574042,0.3464704742853086
141,HNRNPF,-0.34417933049499266,-1.2838883716058993,0.3958129805135465,-1.2838883716058993,1.0732066315221525,0.34417933049499266
142,POLD4,0.34404261567396244,-0.31432568045159676,1.294593439383303,-0.31432568045159676,1.915884146971499,0.34404261567396244
143,ACTB,-0.3426717193923588,-1.1156392440597445,0.3469671383102506,-1.8707590923110873,0.820215858479318,0.3426717193923588
144,ACAT2,-0.3424120349069521,-0.7933747360863996,0.34295396111818993,-0.7933747360863996,1.3997359683355974,0.3424120349069521
145,HNRNPM,-0.3423252676549983,-1.4207681228294844,0.3913060139045242,-1.4207681228294844,0.9630052040442949,0.3423252676549983
146,EXOSC8,-0.34100725141554344,-0.7397402362338461,0.36187841134153226,-0.7397402362338461,0.8477443619259439,0.34100725141554344
147,DTYMK,-0.3405989857083284,-0.9158996954234977,0.40920687768136066,-0.9158996954234977,1.0748626575199227,0.3405989857083284
148,CLSPN,-0.3404990876227827,-0.7043266362786582,0.49237036041018445,-0.7043266362786582,1.3879959516882607,0.3404990876227827
149,ILF2,-0.3400010808340259,-1.1680600615528127,0.35438444890708704,-1.1680600615528127,0.969693186661909,0.3400010808340259
150,HTATSF1,-0.33901355135437494,-0.6358676279057613,0.17390470857724036,-0.6358676279057613,1.2204768335352787,0.33901355135437494
151,ZWINT,-0.3389430784321276,-0.5916239149970265,0.2650541059571053,-0.5916239149970265,1.0664692990380078,0.3389430784321276
152,VMP1,0.33802099847840805,-0.5733498574193525,1.108133506685872,-0.5733498574193525,1.9184828757349444,0.33802099847840805
153,PTMS,0.3365469747698337,-0.6575559130249755,1.1955429801406126,-1.1566779842911499,1.8972809085311158,0.3365469747698337
154,PHPT1,0.3360874184312083,-0.34307125704651903,0.970980084963979,-1.0184734930313213,1.7830435167037861,0.3360874184312083
155,TUBB4B,-0.3359347399236022,-1.596288567573711,0.5780931653669622,-1.596288567573711,1.653359526603535,0.3359347399236022
156,PSMA3,-0.33370208459388345,-1.2564532823239525,0.22960962584865494,-1.2564532823239525,0.5998911791170876,0.33370208459388345
157,NORAD,0.3330677561914876,-0.6800495511173182,1.1290015334011143,-0.6800495511173182,1.857313978088004,0.3330677561914876
158,RAD21,-0.3313640614296603,-1.0556236723233163,0.3929524203967154,-1.0556236723233163,1.2000943204592764,0.3313640614296603
159,CCT2,-0.3312237703948143,-1.1242195964316124,0.36318026776516493,-1.624520361469149,1.1562311052819496,0.3312237703948143
160,TMEM106C,-0.3310726642940895,-0.6502277777943897,0.18938910500666623,-0.6502277777943897,1.060964830085249,0.3310726642940895
161,PTTG1,-0.32891799883023864,-1.0481420094937517,0.7531240170031355,-1.0481420094937517,1.649627632382469,0.32891799883023864
162,ESD,-0.3285613628360519,-1.0997907172415307,0.3519582499291846,-1.0997907172415307,0.8855334271218727,0.3285613628360519
