method,family,condition_norm,n_test_cells,delta_pcc,topk_de,pra_all,csa_pearson
scPLAD,model,FAM50A,38,0.3215773351355766,0.2333333333333333,0.7527861467700346,0.6444825529387125
scPLAD,model,FASTKD5,182,0.3180878085013401,0.3233333333333333,0.8699573999463127,0.7486205463511607
scPLAD,model,FCF1,225,0.8703398837895041,0.7799999999999999,0.8479829975751896,0.7936526027056554
scPLAD,model,FTSJ3,153,0.07782841806017997,0.12666666666666668,0.7885082642129005,0.5925999581455316
scPLAD,model,GFER,198,0.6322803092217181,0.44333333333333336,0.8904188208839291,0.7840001533042867
scPLAD,model,GFM1,230,0.5979236426789628,0.48,0.8936213062891656,0.718983803885819
scPLAD,model,GNL3,29,0.6458519339193406,0.5333333333333333,0.8689559370130793,0.3658760641175509
scPLAD,model,GNL3L,66,0.7110977181368373,0.57,0.850641771237278,0.4739959695756009
scPLAD,model,GPKOW,105,0.4014793393174461,0.29,0.8080439453305407,0.6456137430992801
scPLAD,model,GRPEL1,96,0.47409853133161134,0.3433333333333333,0.7885174602873196,0.7369687929688972
scPLAD,model,GTF2E1,176,0.5299035725146222,0.41333333333333333,0.8147541247669589,0.7142454606122516
scPLAD,model,GTF2E2,69,0.5848992193050436,0.36999999999999994,0.818620398191079,0.5451688012560475
scPLAD,model,HAUS5,153,0.6103130430034541,0.53,0.8453400572835044,0.6112695876745611
scPLAD,model,HEATR1,216,0.839374851764862,0.65,0.8266663183765672,0.7489962472161033
scPLAD,model,HGS,96,0.5177271807541567,0.35000000000000003,0.7918833676581079,0.7232418584082033
scPLAD,model,HIRA,228,0.26859316596268934,0.25666666666666665,0.8877711659241228,0.539534929601155
scPLAD,model,HNRNPH1,92,0.26319763430474735,0.25,0.8003657054118204,0.49802890910942527
scPLAD,model,HNRNPM,128,0.40781255882092743,0.35000000000000003,0.8767818721027729,0.6365003071131712
scPLAD,model,HNRNPU,73,0.17433310122727405,0.24,0.8297125359678316,0.3292571798354218
scPLAD,model,HSCB,85,0.4230668533937993,0.3166666666666667,0.8754347938434979,0.7527747922599977
scPLAD,model,HSD17B12,135,0.1735092086885214,0.2333333333333333,0.8014052550304824,0.758697623429809
scPLAD,model,HSPA8,146,0.32534327491692694,0.43,0.7791660915983559,0.3676698804528898
scPLAD,model,HSPE1,25,0.5657896096392149,0.37999999999999995,0.8116447625568256,0.6330014714431266
scPLAD,model,IGBP1,245,0.3161301079040369,0.2966666666666667,0.8092582542509342,0.776163555131156
scPLAD,model,ISCU,32,0.46706372167999316,0.37333333333333335,0.7766808250316061,0.7830939007817471
scPLAD,model,KRI1,51,0.0454860171722678,0.2833333333333334,0.7944647080426401,0.5401248893582928
scPLAD,model,LSM4,68,0.8280072716035004,0.58,0.8712669850796901,0.7374577957121408
scPLAD,model,MAGOH,149,0.39373840223700257,0.2833333333333334,0.7909881847716772,0.6241977993623765
scPLAD,model,MCM10,190,0.797861631326292,0.6433333333333334,0.9026484943126537,0.8630721775407891
scPLAD,model,MCM3AP,100,0.3127370812062442,0.22,0.8501559500623257,0.46269498310392
scPLAD,model,MDN1,68,0.5317361358457485,0.4766666666666666,0.8371608665755422,0.4872979724026118
scPLAD,model,MED20,78,0.8672268668729446,0.7166666666666667,0.7987626326205574,0.779641459267462
scPLAD,model,MED26,99,0.4757377409401884,0.3466666666666667,0.8486354166682254,0.5527063728214149
scPLAD,model,MED31,35,0.5109006455774634,0.37666666666666665,0.8036096737422497,0.48048486728517403
scPLAD,model,MED8,94,0.8338929100449498,0.6666666666666666,0.8110778377600444,0.788947909318353
scPLAD,model,MFAP1,164,0.6318590894042639,0.41,0.7097537182255514,0.8560719383927361
scPLAD,model,MRPL18,128,0.5181872409336334,0.4166666666666667,0.8103006767171862,0.6055904271460338
scPLAD,model,MRPL3,146,0.633594238670981,0.48666666666666664,0.834874018780403,0.7049029110676867
scPLAD,model,MRPL32,62,0.48523699528820835,0.3566666666666667,0.8237066064963953,0.5376493378277264
scPLAD,model,MRPL38,132,0.5718034912220284,0.41333333333333333,0.8148939019434667,0.5870873293137601
scPLAD,model,MRPL4,109,0.46748664523542005,0.36333333333333334,0.8577317671284076,0.5867621943608158
scPLAD,model,MRPL49,36,-0.08004961102653467,0.3833333333333333,0.7842302786145859,0.6067446935279005
scPLAD,model,MRPL50,147,0.6515272074730022,0.55,0.8213066793876562,0.6459210164864969
scPLAD,model,MRPL54,112,0.509468210436374,0.2866666666666667,0.7801017407661227,0.5638838761477448
scPLAD,model,MRPS11,90,0.596394296262685,0.5066666666666667,0.8439237220804361,0.5873613732416136
scPLAD,model,MRPS14,82,0.25650950970242803,0.3133333333333333,0.7860401990288616,0.46328952603762313
scPLAD,model,MRPS18A,108,0.6385487856660544,0.4666666666666666,0.8450413266626896,0.6201591490649528
scPLAD,model,MRPS24,132,0.4283467551564482,0.4366666666666667,0.831775150384498,0.6712878860148618
scPLAD,model,MRPS26,111,0.48694708458884634,0.4366666666666667,0.8097469096597942,0.5810307183901281
scPLAD,model,MRPS27,76,0.5042964615128694,0.4166666666666667,0.792952406670579,0.5627082902790325
scPLAD,model,MTPAP,86,-0.042377835648021424,0.2733333333333334,0.7541884911110309,0.6522506501306324
scPLAD,model,MZT1,381,0.0801759152508374,0.20333333333333337,0.8826340545412372,0.7579500342064471
scPLAD,model,NAA15,107,0.3204945973070551,0.3,0.8294178571015632,0.7086654544315709
scPLAD,model,NARS,149,0.8582214168742087,0.6033333333333334,0.8022575162760073,0.8806496250580658
scPLAD,model,NBAS,94,0.3024117661487286,0.2333333333333333,0.781924610381561,0.5792160284569053
scPLAD,model,NCAPH,64,0.28633325663833936,0.2733333333333334,0.8284419534847105,0.7405684808823795
scPLAD,model,NDC80,171,0.7801009973350149,0.5933333333333333,0.8452814798400796,0.8614937909495151
