1784392191.388288088	1	5620	0
1784392191.388288088	3	5618	0
1784392201.477038923	1	5620	0
1784392201.477038923	3	5618	0
1784392211.587105087	1	5620	0
1784392211.587105087	3	5618	0
1784392221.672135030	1	5620	100
1784392221.672135030	3	5618	0
1784392231.755835825	1	5620	0
1784392231.755835825	3	5618	0
1784392241.839103801	1	5620	0
1784392241.839103801	3	5618	0
1784392251.934234213	1	5620	100
1784392251.934234213	3	5618	0
1784392262.162384746	1	5620	0
1784392262.162384746	3	5618	0
1784392272.243366888	1	5620	0
1784392272.243366888	3	5618	0
1784392282.476291392	1	5620	0
1784392282.476291392	3	5618	3
1784392292.577118413	1	5620	9
1784392292.577118413	3	5618	74
1784392302.811178708	1	5620	0
1784392302.811178708	3	5618	0
1784392312.911463149	1	5620	0
1784392312.911463149	3	5618	100
1784392323.015922889	1	5620	100
1784392323.015922889	3	5618	0
1784392333.097799281	1	5620	0
1784392333.097799281	3	5618	0
1784392343.204949019	1	5620	0
1784392343.204949019	3	5618	100
1784392353.306926923	1	5620	0
1784392353.306926923	3	5618	100
1784392363.561387988	1	5620	0
1784392363.561387988	3	5618	0
1784392373.645947138	1	5620	0
1784392373.645947138	3	5618	100
1784392383.921273242	1	5620	0
1784392383.921273242	3	5618	100
1784392394.003466014	1	5620	100
1784392394.003466014	3	5618	65
1784392404.293479387	1	5620	0
1784392404.293479387	3	5618	100
1784392414.394318699	1	5620	0
1784392414.394318699	3	5618	100
1784392424.681830831	1	5620	100
1784392424.681830831	3	5618	0
1784392434.768837362	1	5620	0
1784392434.768837362	3	5618	100
1784392445.024266569	1	5620	0
1784392445.024266569	3	5618	100
1784392455.110101669	1	5620	59
1784392455.110101669	3	5618	82
1784392465.477104354	1	5620	0
1784392465.477104354	3	5618	100
1784392475.582602924	1	5620	0
1784392475.582602924	3	5618	100
1784392486.017267159	1	5620	100
1784392486.017267159	3	5618	0
1784392496.114142358	1	5620	0
1784392496.114142358	3	5618	100
1784392506.455058456	1	5620	100
1784392506.455058456	3	5618	0
1784392516.555600913	1	5620	100
1784392516.555600913	3	5618	0
1784392526.869139998	1	5620	0
1784392526.869139998	3	5618	100
1784392536.967261552	1	5620	0
1784392536.967261552	3	5618	61
1784392547.339469546	1	5620	72
1784392547.339469546	3	5618	55
1784392557.433667169	1	5620	69
1784392557.433667169	3	5618	100
1784392567.734420172	1	5620	100
1784392567.734420172	3	5618	0
1784392577.831562894	1	5620	0
1784392577.831562894	3	5618	100
1784392588.324893601	1	5620	0
1784392588.324893601	3	5618	0
1784392598.425156449	1	5620	100
1784392598.425156449	3	5618	0
1784392608.739030229	1	5620	0
1784392608.739030229	3	5618	100
1784392618.842430467	1	5620	0
1784392618.842430467	3	5618	100
