condition,n_true_cells,n_pred_cells,top100_de_overlap
PPIL4,69,2000,0.32
PPP1R11,69,2000,0.15
PPP1R8,64,2000,0.19
PPP2R1A,301,2000,0.22
PPP4R2,162,2000,0.2
PRIM2,149,2000,0.38
PRMT1,44,2000,0.15
PRMT5,92,2000,0.15
PRPF18,256,2000,0.47
PRRC2A,82,2000,0.28
PSMA2,38,2000,0.26
PSMA3,194,2000,0.35
PSMA6,18,2000,0.29
PSMA7,22,2000,0.29
PSMB2,46,2000,0.33
PSMB3,19,2000,0.25
PSMB6,77,2000,0.4
PSMC1,177,2000,0.34
PSMC2,279,2000,0.35
PSMC4,149,2000,0.36
PSMC6,65,2000,0.33
PSMD1,87,2000,0.36
PSMD11,40,2000,0.31
PSMD12,116,2000,0.29
PSMD4,285,2000,0.3
PSMD6,282,2000,0.29
PTCD1,246,2000,0.29
QARS,376,2000,0.39
RABGGTA,114,2000,0.3
RAD21,62,2000,0.46
RAE1,51,2000,0.32
RAN,79,2000,0.27
RARS2,139,2000,0.2
RBBP4,65,2000,0.22
RBM17,50,2000,0.19
RBM25,53,2000,0.43
RBM28,55,2000,0.37
RBM39,49,2000,0.33
RBM42,68,2000,0.27
RBM48,55,2000,0.23
RBM8A,17,2000,0.3
RBMX,110,2000,0.41
RCL1,104,2000,0.63
REXO2,65,2000,0.18
RFC2,85,2000,0.33
RFC4,58,2000,0.29
RFC5,101,2000,0.24
RINT1,143,2000,0.18
RIOK2,161,2000,0.63
RMI1,195,2000,0.22
RNASEH2C,89,2000,0.17
RNF113A,170,2000,0.46
RNF20,118,2000,0.35
RNMT,106,2000,0.56
RNPS1,51,2000,0.11
RPA1,337,2000,0.38
RPAP1,88,2000,0.38
RPAP2,373,2000,0.44
RPL10,215,2000,0.49
RPL11,315,2000,0.49
RPL12,185,2000,0.43
RPL14,189,2000,0.52
RPL17,134,2000,0.49
RPL18,229,2000,0.51
RPL19,226,2000,0.51
RPL21,214,2000,0.53
RPL23A,84,2000,0.49
RPL26,194,2000,0.47
RPL32,158,2000,0.51
RPL34,249,2000,0.55
RPL35,36,2000,0.46
RPL35A,97,2000,0.52
RPL37A,295,2000,0.51
RPL38,169,2000,0.5
RPL39,31,2000,0.37
RPL4,257,2000,0.54
RPL5,154,2000,0.5
RPL7,237,2000,0.53
RPL9,180,2000,0.47
RPLP0,136,2000,0.42
RPLP1,96,2000,0.33
