condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio,csa_pearson,csa_spearman,n_corr_pairs
PSMA7,22,2000,0.9748110832257431,0.8480650288053797,0.36483872454210037,0.250186331656234,0.8404105393059996,0.8836966780610271,0.8459628011272405,0.44971844174439063,0.5294331264508187,1.17725462319197,0.2979725417991681,0.27252776674416807,4950
PSMB2,46,2000,0.9741763229275611,0.8685078963434938,0.43605212972663926,0.31098943974486193,0.8679846530927935,0.8674654722163957,0.8687621848811716,0.4685884142874658,0.5197293831602292,1.1091383316831358,0.4180949992197482,0.3964288378763473,4950
PSMB3,19,2000,0.9679786967426081,0.832287685436572,0.2590101936275478,0.17349226292449899,0.8715907093535444,0.8487689742035175,0.8845207562074117,0.4248528888435736,0.5211611821766355,1.2266861861957583,0.20145864647278114,0.17182732630288405,4950
PSMB6,77,2000,0.9789453130916302,0.9081007059513344,0.4942993022995299,0.41196891664125096,0.8693996316811017,0.7215173589169604,0.8693996316811017,0.5008015968047778,0.5090000742024228,1.016370689083753,0.4406762465647639,0.4256813472063573,4950
PSMC1,177,2000,0.9757056079893197,0.9083532464268437,0.6360186396201873,0.5084802419011326,0.8041339038774572,0.7014541289644498,0.8041339038774572,0.5694069741956161,0.5166808262408206,0.907401631138613,0.5079977242914516,0.4922915573928713,4950
PSMC2,279,2000,0.9819165536349205,0.9221937599186778,0.5992112899776335,0.48885657592621556,0.850239536639392,0.7910390720845988,0.850239536639392,0.5310052039541822,0.5144834944790816,0.9688859562186405,0.4983294333241414,0.48277102090565105,4950
PSMC4,149,2000,0.9732099505117269,0.9027699634867015,0.6070622344007262,0.5123410517500785,0.815068914576241,0.7203405714383296,0.815068914576241,0.5565574698132378,0.5199370053675147,0.9342018106413523,0.5072073120580047,0.4855324984433529,4950
PSMC6,65,2000,0.9739669155120041,0.8782851923804992,0.5321303003618619,0.397060332566201,0.8278251268969503,0.7789908198296835,0.8278251268969503,0.5337277099090075,0.5316905193777116,0.9961830715263519,0.5165961618947497,0.5078167798065796,4950
PSMD1,87,2000,0.9849210635652068,0.9179772884911642,0.5966364020929983,0.44364619670161215,0.8801170611282019,0.869063240950032,0.8801170611282019,0.4887905559820393,0.515535853047153,1.0547172734632861,0.5248128575855117,0.5139128375881541,4950
PSMD11,40,2000,0.9814323559151499,0.8948324864039875,0.515600518088863,0.37596556369451867,0.8340015230385223,0.7959230126089709,0.8367474125187448,0.4988700725075952,0.5004624513577342,1.0031919509827787,0.4822864654630075,0.4716324293487308,4950
