condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,part
DDX54+ctrl,68.0,2000.0,5000.0,0.9971653668141104,0.9696806041690412,0.7097081710259974,0.5222155257936874,0.9941230989061296,0.0007505432972353,1.0964080632091624,0.4824808832342874,0.5052327303909044,1
DERL2+ctrl,122.0,2000.0,5000.0,0.9960698060588838,0.9729314578932584,0.4611949255868316,0.3381487392785274,0.991959512233734,0.001000944759697,1.0680956557734738,0.5028600038262385,0.5060881213390364,1
DHX37+ctrl,202.0,2000.0,5000.0,0.9975346628712998,0.984769453374778,0.8334481284391321,0.6317453615258144,0.9949836651794612,0.00059488949442,0.840490792889025,0.5409772660829055,0.4098947909694947,1
DLD+ctrl,283.0,2000.0,5000.0,0.9856535591979452,0.9415621301810828,0.3729856424496447,0.2866725294395416,0.9702199120074512,0.0036801387977055,0.8483917584966346,0.5313632137278621,0.4668563966469765,1
DNAJC8+ctrl,260.0,2000.0,5000.0,0.9984924839503352,0.98685900721836,0.3181418961825928,0.2724708172675292,0.9968315293081104,0.000409882221934,0.7545627704889456,0.5317140845291821,0.3655877881875402,1
DNTTIP2+ctrl,235.0,2000.0,5000.0,0.9950943726943542,0.9830001511027822,0.954424991631126,0.8496320608944559,0.9884848175570368,0.0012963294813981,0.8237959568107739,0.5243694847968885,0.3955620719603113,1
DONSON+ctrl,688.0,2000.0,5000.0,0.9978986400893526,0.9912217843926608,0.8520217891265777,0.7360879052531825,0.9957891483791173,0.000528822589381,0.630686977352105,0.5318609914280896,0.2883023351559785,1
DPH2+ctrl,161.0,2000.0,5000.0,0.9976092308781336,0.9803343808773752,0.1197148194259222,0.0592912345707643,0.9951681150123476,0.0006284667200518,0.859611770396276,0.5239802945105237,0.4201412216859045,1
DYNC1H1+ctrl,217.0,2000.0,5000.0,0.9983844569548096,0.983401172424047,0.7949482954091017,0.6134443660712199,0.996648942353204,0.0004091569391713,0.9080397189873252,0.5001872539673013,0.3943765619671573,1
DYNLRB1+ctrl,192.0,2000.0,5000.0,0.9983636299600712,0.9833191461807655,0.6462099604856303,0.4599307731194609,0.996696054469794,0.0004095284894759,0.8952248952234302,0.5174225294250104,0.402333109769639,1
E4F1+ctrl,130.0,2000.0,5000.0,0.9953587002267356,0.9714823655299256,0.3329876013795209,0.2438692510784757,0.9903465397655964,0.0012733880717311,0.9708960468156006,0.515500115826265,0.4717489348991157,1
EBNA1BP2+ctrl,68.0,2000.0,5000.0,0.9971708002779744,0.9713079029483158,0.8534283018082502,0.6812213476332033,0.994337826501578,0.000716157411107,1.0835302420497683,0.4747514267955864,0.4876836017170382,1
ECD+ctrl,69.0,2000.0,5000.0,0.9950703920625932,0.958226602485054,0.5917444564947298,0.4421363739145112,0.9901556931436062,0.0012424591041627,1.232045168404278,0.5050084286756288,0.5839622249478147,1
