condition,n_pred_cells,n_true_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
INO80B,2000,115,0.9960412000075624,0.9736465920609856,-0.003412545128307279,-0.007254495935855327
INTS3,2000,103,0.9876538797698344,0.9371413653642512,0.3578560948145667,0.3311314647251548
INTS4,2000,47,0.9869006321416047,0.9170455012430636,0.5970115785468407,0.47466319544752006
INTS9,2000,222,0.9898660539167954,0.9426652312892576,0.6368121640903394,0.5290078924985778
IPO9,2000,173,0.9980247637339446,0.9824611880135671,0.13975147560378257,0.1014535452395257
ISCU,2000,32,0.9911249209705523,0.9287553360742935,0.46294984759295316,0.2910553657148793
ISG20L2,2000,72,0.9932654552744165,0.957597143561886,0.37376232630931366,0.21031789238012236
KANSL1,2000,41,0.9895401282742212,0.9309171167239461,0.24556060564107807,0.1716126025728345
KARS,2000,45,0.9927559415746471,0.9439754016016808,0.4514262493409658,0.3074233584785773
KAT8,2000,254,0.9952183104150469,0.9735960641478921,0.07362261203825014,0.06783950033620458
KIF20A,2000,95,0.9945504243764594,0.9710102135626345,0.04606855242778826,0.05962047167152592
KPNB1,2000,214,0.9879203757409152,0.9297981373979687,0.5748254946950738,0.41111357053165437
KRI1,2000,51,0.9916350508936609,0.9531865116508473,0.5341039126982471,0.17509866662711054
KRR1,2000,398,0.9919158973724338,0.9771510142027013,0.6096476359317526,0.25814958014542966
LAS1L,2000,75,0.9953529081551487,0.9706639865588034,0.09462020697781,0.0379409614881118
LETM1,2000,110,0.9963224817003454,0.9763205581523344,0.3901635460049711,0.23781438901005475
LSG1,2000,106,0.9942196256833044,0.966679749812245,0.46230836175633877,0.26096587669452487
LSM3,2000,64,0.990327586959851,0.9337536498455762,0.5153822798753885,0.4183240702075891
LSM4,2000,68,0.9866453092020656,0.9102581546448849,0.6158450570478345,0.4824527707836393
LSM5,2000,139,0.9870207024283657,0.9279869192130387,0.4864661661838646,0.367232792788097
LSM6,2000,423,0.9876652769263227,0.9219512389991357,0.6752923669255352,0.5426598744415276
LSM7,2000,126,0.9906536851740401,0.9411210328211437,0.5606638942189945,0.44719283753773376
MAD2L1,2000,103,0.9956681455843492,0.9674877675629512,0.24692788710129066,0.1995766438581614
MAK16,2000,183,0.993755467201906,0.9712850272940804,0.5010219564161905,0.33388171829524194
MARS,2000,81,0.9885177956553474,0.9310514845364682,0.5886896760260915,0.3838782278753715
MAX,2000,161,0.9847546291261157,0.948814831818543,0.3527951502134902,0.20455477040630857
MCM2,2000,114,0.9954405883360664,0.9679513852610113,0.3976256022693585,0.21551308233129898
MCM3,2000,104,0.9955833313085268,0.9670513336495448,0.24108655206838053,0.09969062273539021
MCM3AP,2000,100,0.9948047120355326,0.9675063378494647,0.1505804266800554,0.09962976493314962
MCM4,2000,69,0.9944317413887738,0.9597713142434106,0.17886177017932453,0.08965893031941845
MCM6,2000,84,0.9953140936802007,0.9634369618003414,0.2843654665074783,0.1255520799393496
MED10,2000,454,0.9798161468611551,0.9128373085332456,0.4085115370149114,0.25120827124410205
MED11,2000,227,0.9881351842158246,0.9519551069676765,0.49070557759471406,0.2860899013339878
MED17,2000,143,0.9756169451685578,0.9014798026764509,0.5434882858525226,0.3552429215838925
MED19,2000,526,0.985693648423478,0.9440596796602381,0.57385452720295,0.35145291198778517
MED22,2000,279,0.9790507136364945,0.9163407623972056,0.554983764871686,0.32080695574850665
MED26,2000,99,0.9964623190268435,0.9737583680824239,0.19605309125719142,0.0853557730213155
MED28,2000,66,0.9809197766753226,0.9231338317656774,0.3566581296924793,0.20212870476777844
MED29,2000,86,0.9884917055621834,0.9353215773317413,0.5240181783614551,0.3955754851594566
MED30,2000,283,0.9701544263331274,0.8876355215358963,0.6293904350133126,0.4355364671280417
MED4,2000,56,0.9683432315678535,0.8550135283301887,0.5678505948787265,0.3539879941039423
METAP2,2000,131,0.9955678232967446,0.9741655076906587,0.07646153376579418,0.05977198021714043
MICOS10,2000,83,0.9962778004524945,0.9732898134104168,0.2423566304597399,0.18792397450618917
MIOS,2000,160,0.9980085268880936,0.9816987395360359,0.3149732326159601,0.2070974996545536
MNAT1,2000,79,0.992212150032246,0.9588716969072257,0.2838632679639487,0.18007671606988856
MPHOSPH10,2000,38,0.9874930566643216,0.939225010301572,0.5896350505240568,0.28460931925607397
MRGBP,2000,68,0.9946401257384554,0.9656414957478374,-0.02725314654460711,-0.005507676346420121
MRPL13,2000,72,0.9962698042788471,0.9682123949010566,0.29692121433301266,0.16063237615490614
MRPL14,2000,188,0.9982904708265853,0.984682050775378,0.299703509462708,0.13829826337189238
MRPL17,2000,96,0.9965924485530029,0.9735004799353608,0.39102685630375267,0.16816948397886128
MRPL18,2000,128,0.9968086899019094,0.9772096671737245,0.44468619940423615,0.259897411981798
MRPL3,2000,146,0.9969830492433666,0.9783653007807583,0.37576506678587235,0.12859917388708478
MRPL36,2000,160,0.9969720185139969,0.9806465838833558,0.25762343157689155,0.07749653808203373
MRPL37,2000,100,0.9973972958772458,0.9760070266925833,0.4419905517159651,0.21103848251933247
MRPL38,2000,132,0.9972614866907189,0.9801684264067158,0.2952801115937905,0.138849840453602
MRPL41,2000,66,0.9962905213998494,0.9685907085714449,0.3371575652070537,0.1613795412012473
MRPL43,2000,90,0.9960522166342288,0.9742203860033825,0.3332466526691972,0.16082834614159403
MRPL51,2000,100,0.9964879779467742,0.9746119302541612,0.33882631139804664,0.15633448368787772
MRPL54,2000,112,0.9976463684345894,0.9764359657729368,0.29096872197181317,0.13357516219501522
MRPS11,2000,90,0.9966410330254459,0.9719261622620721,0.3316335996756558,0.18578636961221223
MRPS14,2000,82,0.9914967786331793,0.9635982652767774,0.24477013714784132,0.19045214454020332
MRPS2,2000,93,0.9973641529317565,0.9757286616535147,0.12798130779573544,0.06270136421618414
MRPS21,2000,126,0.9971472295566537,0.9791916237284443,0.23114747284870346,0.10600090416304818
MRPS22,2000,142,0.9981341355573484,0.9807629059354024,0.27438042036185056,0.18019803818209323
MRPS23,2000,108,0.997660088027201,0.9773971788288622,0.2964077294818305,0.16929773307238777
MRPS35,2000,182,0.9977023768588276,0.9814450708369225,0.4040234523465943,0.2660996671941734
MRPS7,2000,101,0.9977380110848448,0.980221184959022,0.2320682494821236,0.11524440446670536
MRPS9,2000,69,0.9965543945627405,0.9692093004147079,0.25023569538241375,0.16120168715290584
MTBP,2000,183,0.9936084551069614,0.964590969503661,0.21695027753583254,0.11292395948338686
