condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
CHMP6,620,2000,0.0003640719805844128,0.011117413640022278,0.8944671154022217,0.8944671154022217,0.7995925712988932,0.67,0.7624276413277125,0.6481526309020847,0.5440707758588682,12.054517191820992,50
RBX1,41,2000,0.0022438494488596916,0.03094470128417015,0.5672296285629272,0.5672296285629272,0.4435002090572285,0.35,0.3466829838116908,1.1952438298303587,0.7119536449348652,12.851428248428826,50
BRIX1,95,2000,0.0018402725690975785,0.026634756475687027,0.5670790672302246,0.5670790672302246,0.3975169987902204,0.47,0.4429326428858683,1.1738364451961134,0.7413391706968666,13.236153220219737,50
PTCD1,246,2000,0.0003408893244341016,0.011016640812158585,0.6254697442054749,0.6254697442054749,0.5164392576903595,0.53,0.570095840895304,0.7488961003533945,0.6054733315703186,13.56123118734171,50
HIRA,228,2000,0.0006090813549235463,0.015032516792416573,0.16084426641464233,0.16084426641464233,0.12020232870186283,0.22,0.16609707057644543,0.759169079015607,0.6045746018324052,12.948163773553372,50
POP4,116,2000,0.000665347499307245,0.01683567836880684,0.8064303398132324,0.8064303398132324,0.48623070888922826,0.73,0.7656353065166162,1.0165090500176022,0.7136363591989937,14.05610622755768,50
DYNC1H1,217,2000,0.00040915541467256844,0.0133121432736516,0.7949482202529907,0.7949482202529907,0.6134443660712199,0.64,0.7070468207812115,0.9115907676745982,0.6322353607668719,12.636585711470332,50
POLR3B,109,2000,0.0007251972565427423,0.018592288717627525,0.4736279845237732,0.4736279845237732,0.3182145265198554,0.38,0.34676289935560334,1.0333782601305233,0.7116171455198257,13.530157463220895,50
DNAJC8,260,2000,0.00040988382534123957,0.012871340848505497,0.3181418478488922,0.3181418478488922,0.2724708172675292,0.21,0.15224896645201133,0.7712690754919821,0.6210312506860651,13.351555549004155,50
QARS,376,2000,0.0009836666285991669,0.01814395561814308,0.9513247013092041,0.9513247013092041,0.8614978054179401,0.8,0.8600671986973651,0.7729417869861445,0.6055663288094153,12.879361957733796,50
WBP11,205,2000,0.001548746251501143,0.024921312928199768,0.5153447389602661,0.5153447389602661,0.34175977110299754,0.42,0.4085524720179545,0.9007607211393632,0.6522286012822476,12.958565976861907,50
MCM10,190,2000,0.0011589786736294627,0.016871828585863113,0.767672061920166,0.767672061920166,0.6572466484816398,0.63,0.6792709298316697,0.8341568445068646,0.6183144993746376,12.900055041752363,50
PSMD1,87,2000,0.001007745391689241,0.021188192069530487,0.854530930519104,0.854530930519104,0.6445981227268656,0.74,0.8294347047965067,1.178497129594896,0.7458151045679077,13.427732762924022,50
MED20,78,2000,0.0009084904449991882,0.02174430526793003,0.8869984149932861,0.8869984149932861,0.7051556342222253,0.73,0.8383200166021705,1.3773932483410092,0.8395373234723119,14.432798015975202,50
DERL2,122,2000,0.001000941963866353,0.018947593867778778,0.4611949324607849,0.4611949324607849,0.33814873927852745,0.34,0.29034525648034404,1.0717499472390073,0.7182159506556581,13.072015366796995,50
VPS54,306,2000,0.00022739078849554062,0.01012007612735033,0.7055851221084595,0.7055851221084595,0.5285497641720462,0.51,0.5385131735179137,0.711381241418098,0.5729059364822746,12.575892601879776,50
WDR12,174,2000,0.00043662209645844996,0.013580544851720333,0.9206447005271912,0.9206447005271912,0.7867023859378572,0.81,0.884099804445372,0.8291826399215481,0.6252637970887956,12.912758841977459,50
OXA1L,305,2000,0.0008790023857727647,0.01646018959581852,0.8645408153533936,0.8645408153533936,0.703255681094618,0.54,0.6247338125662334,0.7464841592104543,0.6000232774957723,12.891396541217686,50
SART3,142,2000,0.0011666979407891631,0.021624233573675156,0.5036846399307251,0.5036846399307251,0.40721042043596284,0.36,0.26389054539263596,0.9282075445527859,0.6742903723103185,13.527825058965309,50
TEX10,153,2000,0.0010292192455381155,0.019037064164876938,0.6902821063995361,0.6902821063995361,0.49945408147012393,0.53,0.5920063224662038,0.8849443599824902,0.661866861574833,13.523784388997681,50
GTF2E1,176,2000,0.0003645390970632434,0.01331717986613512,0.7849752902984619,0.7849752902984619,0.597387992021857,0.66,0.7120753245289089,0.8719244458047705,0.6481338209769152,13.27568140159615,50
DDX54,68,2000,0.0007505411049351096,0.019101867452263832,0.7097080945968628,0.7097080945968628,0.5222155257936874,0.64,0.6805056474004592,1.0992604230168497,0.7288266333311902,13.791853353491074,50
E4F1,130,2000,0.0012733825715258718,0.020751867443323135,0.33298760652542114,0.33298760652542114,0.2438692510784757,0.21,0.16643375191548482,0.9748277101176898,0.6931439505131336,13.553446345798177,50
RIOK1,290,2000,0.00029838085174560547,0.011266615241765976,0.9557846188545227,0.9557846188545227,0.8337020056120978,0.91,0.9650527465031317,0.7421762272440142,0.5888518976104765,12.645886702167086,50
EBNA1BP2,68,2000,0.0007161569665186107,0.018114108592271805,0.8534282445907593,0.8534282445907593,0.6812213476332033,0.78,0.8475807466826547,1.1121914701271778,0.7360401684876162,13.782212085765787,50
EIF5A,100,2000,0.001752687618136406,0.025252919644117355,0.4196837544441223,0.4196837544441223,0.32889738520368245,0.3,0.2245944999403494,1.060649735951669,0.7151059527396744,13.340101149249897,50
SF3B2,197,2000,0.0049075353890657425,0.042188242077827454,0.8861203193664551,0.8861203193664551,0.802610129474193,0.66,0.7453257946840892,1.04469170793745,0.6839096196158131,12.832430474066125,50
ACTR8,242,2000,0.0011012316681444645,0.019324755296111107,0.23427149653434753,0.23427149653434753,0.18393006611361698,0.13,0.12532644110205987,0.8109642812410408,0.6348672435420332,13.138885334815786,50
EXOSC2,209,2000,0.0019187398720532656,0.02408742904663086,0.9427474141120911,0.9427474141120911,0.8042396767681903,0.77,0.8715829244303785,0.9703965834161129,0.6858494902311192,13.266075106300182,50
ALG13,167,2000,0.00045360831427387893,0.013770242221653461,0.2406146228313446,0.2406146228313446,0.20371256843872645,0.17,0.1250877837528851,0.8594906736770561,0.6454866543124621,13.428784108516913,50
CPSF3,575,2000,0.001055836328305304,0.01808096468448639,0.7308135032653809,0.7308135032653809,0.5871301606832976,0.49,0.4573179037798472,0.6422410560721431,0.5518428988295608,12.244187703370486,50
RBM42,68,2000,0.0017451316816732287,0.026155585423111916,0.22470539808273315,0.22470539808273315,0.19705567844222713,0.27,0.19743823985496464,1.2218093951502516,0.804610185411081,14.572867000221736,50
CDC40,84,2000,0.0007035582093521953,0.019033310934901237,0.7138181328773499,0.7138181328773499,0.5645632919671802,0.52,0.5246439028278296,1.1639256407327483,0.7497031203855131,13.417057292732975,50
PPP1R11,69,2000,0.0012528356164693832,0.02230706252157688,0.12735727429389954,0.12735727429389954,0.10969147299018932,0.22,0.1892239050532431,1.1306014222367309,0.7508971993549206,13.857674072648113,50
SF3B3,215,2000,0.0024400795809924603,0.0308581180870533,0.8846166133880615,0.8846166133880615,0.797713520378831,0.7,0.7710968481206837,0.9897226947935774,0.6675964610404006,12.737188994450053,50
MRPL54,112,2000,0.00041417760076001287,0.014379394240677357,0.6279346942901611,0.6279346942901611,0.40171508299024455,0.39,0.3994038414510085,0.9744063593154728,0.6762023236049574,13.223338267356416,50
WDHD1,175,2000,0.000756450230255723,0.01744735799729824,0.5673080682754517,0.5673080682754517,0.3653064687913282,0.3,0.27994027578312464,0.8236095075711027,0.6409385147029254,13.53395703518896,50
FCF1,225,2000,0.000450026651378721,0.01357753574848175,0.962040901184082,0.962040901184082,0.8484585165827037,0.9,0.9716114468068657,0.8067100002955074,0.608748549124707,12.687975057152794,50
LSM4,68,2000,0.0016528425039723516,0.02593088336288929,0.8419171571731567,0.8419171571731567,0.7127936137917444,0.59,0.612329764298978,1.1731042253580939,0.7725938766843612,14.299512728215625,50
IGBP1,245,2000,0.0012389551848173141,0.02117936871945858,0.6221623420715332,0.6221623420715332,0.4564444991655986,0.53,0.47587836279765516,0.8655483799116247,0.6237623989968997,12.41871752857918,50
SNRNP27,42,2000,0.0022300533019006252,0.03073948621749878,0.15734605491161346,0.15734605491161346,0.16178494854657785,0.14,0.10372959136665365,1.2695437701254364,0.7566294816484505,13.122130294625409,50
GFM1,230,2000,0.00038491064333356917,0.012006348930299282,0.6738176345825195,0.6738176345825195,0.5157515319879514,0.49,0.5540410899530791,0.7673252037382277,0.6169254558836023,13.314878451033746,50
POLR2E,93,2000,0.0010003645438700914,0.021565720438957214,0.7443251609802246,0.7443251609802246,0.495671277554851,0.6,0.6989659782133407,1.1364756453618232,0.7417389951625427,13.675408477452946,50
SNRPD1,113,2000,0.004375247750431299,0.039058275520801544,0.9016660451889038,0.9016660451889038,0.8395841645996664,0.74,0.8437759393016316,1.2030208795797692,0.7820623748061659,13.79196676840168,50
RFC3,211,2000,0.0002565037866588682,0.011005934327840805,0.8866003751754761,0.8866003751754761,0.7153738249716289,0.8,0.8676976432405226,0.7488330530870186,0.590513996811643,12.73716461252675,50
MRPS26,111,2000,0.0004401959013193846,0.014638300985097885,0.6068782806396484,0.6068782806396484,0.37664724981300857,0.46,0.470927222265908,0.9625155964991176,0.6831095686057921,13.501770216800203,50
RCC1,162,2000,0.0005480621475726366,0.015623681247234344,0.4045361280441284,0.4045361280441284,0.21969530708108498,0.32,0.3078208584281895,0.8922490739437637,0.6523769694475179,13.337794898013675,50
NEDD1,134,2000,0.0006050787051208317,0.015141398645937443,0.519103467464447,0.519103467464447,0.37794000570695296,0.39,0.3547271610298952,0.8975804925388806,0.654164312444856,13.211705950656876,50
DDX5,130,2000,0.00113677978515625,0.020520878955721855,-0.052310071885585785,-0.052310071885585785,0.03534876290279888,0.2,0.12020666993174062,0.9183245870375885,0.6783170178774718,13.483761194484558,50
EIF2S1,208,2000,0.005892148241400719,0.04185594990849495,0.9267604351043701,0.9267604351043701,0.8478724747468989,0.72,0.8364114866885866,1.0135477598260032,0.6890878244723818,13.114432554631875,50
CUL1,181,2000,0.000594620534684509,0.016165485605597496,0.3321366608142853,0.3321366608142853,0.1954802776752111,0.29,0.18603860474924216,0.8511553753485315,0.6421977384185412,13.122445338553574,50
KRI1,51,2000,0.001429764204658568,0.02484247274696827,0.7249523401260376,0.7249523401260376,0.4551832401011785,0.6,0.5881459656846716,1.2311056589506548,0.7768435689631992,14.006351201362977,50
ZNF335,140,2000,0.0005327292019501328,0.015125729143619537,0.2591286599636078,0.2591286599636078,0.190447245119602,0.18,0.11438892542533359,0.9082289241441392,0.6663494732993616,13.501257177095033,50
GPKOW,105,2000,0.001169815775938332,0.023218175396323204,0.48462992906570435,0.48462992906570435,0.3914569096986462,0.31,0.25118749215462693,1.0601421067812566,0.7259185995292117,13.761761074417766,50
POLR2F,209,2000,0.0005990244098939002,0.016491852700710297,0.9374867677688599,0.9374867677688599,0.8302985955518709,0.73,0.8401504040758707,0.9620243156517815,0.6636791122786847,12.698904954279918,50
USP36,151,2000,0.0004780746821779758,0.014488189481198788,0.24392402172088623,0.24392402172088623,0.15086452017344304,0.22,0.17160973268340077,0.894330670882882,0.6679436345805541,13.888146667207007,50
NARS,149,2000,0.0019476856105029583,0.02544189989566803,0.888925313949585,0.888925313949585,0.7287079122712946,0.74,0.8203623342727001,1.0055443165857831,0.6982958159464563,13.365338252938965,50
MRPL3,146,2000,0.00036316184559836984,0.012455511838197708,0.794399619102478,0.794399619102478,0.5401855987663173,0.65,0.7351671527292394,0.8829874900758443,0.651739062915096,13.521802015890525,50
RPL8,290,2000,0.0005789401475340128,0.014846318401396275,0.9816917777061462,0.9816917777061462,0.9369380605560088,0.9,0.969310030844693,0.7680710633340473,0.5720840265027918,11.649977620628354,50
FASTKD5,182,2000,0.001116771949455142,0.012707744725048542,0.36455920338630676,0.36455920338630676,0.2909438638437198,0.58,0.5633909110362548,0.85766313888157,0.6554753281620749,13.51264456421869,50
RNGTT,110,2000,0.0005815780023112893,0.016356201842427254,0.4913049340248108,0.4913049340248108,0.31252184913137554,0.36,0.3220907502679499,0.9887726328519328,0.6948076120965188,13.846580140508188,50
