condition,source_context_count,pcc_delta,topk_de_overlap,pra_top100_true_de,csa_pearson
NAE1,0,0.2959527114507392,0.23,0.1426564041498912,0.1165723243943562
NARS,0,0.5512644709132609,0.3,0.1346666471429808,0.1499899424719818
NBAS,0,0.1999833342866668,0.2,0.154131745768145,0.1666691633600075
NCKAP1,0,0.2512261585134857,0.22,0.1688295191358033,0.0949503539873438
NCL,0,0.2765352053752437,0.32,0.1534194295057398,0.1748573846258894
NDUFA6,0,0.352099749767622,0.3,0.1893598651306288,0.3119913425787702
NDUFAB1,0,0.5233641276478131,0.31,0.1766011745609357,0.2120420960404097
NDUFB10,0,0.3255612484048266,0.25,0.1921261811482423,0.2831057732309964
NEDD1,0,0.2408584220713041,0.3,0.1631230508242329,0.1983009469001234
NEDD8,0,0.1218787321186532,0.3,0.1261100051062617,0.1855980821618632
NELFB,0,0.5127598112717309,0.32,0.1879589831851704,0.3242036689472691
NELFE,0,0.5420522629427691,0.42,0.1676752237408814,0.1483194120078964
NEPRO,0,0.4877730997839221,0.35,0.1887177536169773,0.2781074187769386
NIFK,0,0.6432171595302003,0.42,0.1432609713520292,0.1571384110976476
NIP7,0,0.4912704937094533,0.34,0.1661173635315054,0.2185268168376745
NKAP,0,0.5979981567776559,0.29,0.1338757921647685,0.1240424843716121
NLE1,0,0.7021761916252669,0.49,0.1581280075478546,0.201210466799839
NMD3,0,0.5298798594391643,0.37,0.1643782180071353,0.1961682575845372
NOB1,0,0.5388621471132872,0.49,0.1933735658192548,0.4491122825659316
NOC4L,0,0.6022879316150971,0.57,0.1962084358001812,0.2035010038348201
NOL6,0,0.6717965576223043,0.59,0.2065152513862264,0.3571070205521252
NOLC1,0,0.2656494235683218,0.31,0.1678894135226477,0.154713919724575
NOM1,0,0.3169783873219364,0.29,0.1907241364056151,0.3105029981266527
NOP10,0,0.3539575606090322,0.33,0.206173278576986,0.5082653164317457
NOP14,0,0.5700900466623894,0.55,0.2131689194421528,0.2221189407080852
NOP16,0,0.523944664474122,0.37,0.1501974153623137,0.1554017217474785
NOP2,0,0.6190713527223182,0.44,0.1531223749050439,0.1226646065781543
NOP58,0,0.576465189523934,0.51,0.1915920542363215,0.2491074381157862
NPLOC4,0,0.6817307666756109,0.54,0.1131330663484328,0.1270754714201738
NSA2,0,0.5165715984510623,0.38,0.199802901163139,0.2785772113482963
NUDC,0,0.3170638397318736,0.26,0.1426567871905345,0.2371137287478263
NUDCD3,0,0.3521148281020341,0.24,0.1455549263079839,0.1575123986541479
NUDT21,0,0.4114934941567645,0.27,0.1193581968457571,0.0434732202141506
NUFIP1,0,0.4672380141218465,0.47,0.1901955823464906,0.3326665165074943
NUP107,0,0.5425377726412002,0.32,0.1274391181000703,0.2690881347044975
NUP62,0,0.6348819528668165,0.43,0.1308882658100874,0.1098322737277099
NUP88,0,0.5161421427070177,0.31,0.1567339802507736,0.0809460908652355
NUP98,0,0.5757748354651692,0.38,0.1298550278510792,0.1295416833435703
NVL,0,0.5568442631025502,0.42,0.1998513660307369,0.2894188211581323
OGT,0,0.2764789964481349,0.22,0.1627138664023185,0.1966710306401389
ORC5,0,0.1979161916276532,0.19,0.1410090466180857,0.1201836662895337
PCBP1,0,0.3549956899483957,0.32,0.1417555933449186,0.0849845905746568
PCF11,0,0.4678379978823706,0.36,0.1328546508479472,0.2022496646696433
PCNA,0,0.5230541370633077,0.43,0.1140304407782623,0.0760998926429943
PDCD11,0,0.5977020027890236,0.49,0.2045498791432531,0.4137050873836604
PELO,0,0.3511835473979992,0.26,0.1395947611821227,0.1880788338501453
PES1,0,0.4965028157866693,0.33,0.1584980394899112,0.0297603165418878
PFN1,0,0.3230193943368452,0.22,0.178929135893604,0.2783219195421753
PGPEP1,0,0.447243672733615,0.31,0.1085707599644968,0.0689679462552958
PHB,0,0.7266043908202923,0.53,0.1116110876494713,0.1232932567365072
PHF5A,0,0.6568969837424031,0.38,0.1377091851579145,0.1352707691978241
PIAS4,0,0.5122519581466708,0.33,0.145656673201455,0.1581076212184948
PKM,0,0.1814559626227295,0.16,0.1608491972414282,0.1222648640979689
PLRG1,0,0.6381631627851571,0.39,0.1149970733747607,0.0949948709476797
PMF1,0,0.592309172716046,0.41,0.1310254600725645,0.1251867166436046
PMPCA,0,0.4826385543060082,0.35,0.1430853063655817,0.2426404686318459
PNISR,0,0.3545429219740902,0.29,0.1502894088719225,0.1679151932605455
PNPT1,0,0.0230815247064443,0.17,0.1834754671117878,0.3975841581681167
POLD1,0,0.4237541332709384,0.31,0.140936212474228,0.1479286628719528
POLE,0,0.4679218496102358,0.36,0.1325291176157471,0.0727469865043991
POLR1A,0,0.5094612574371733,0.46,0.152050730292532,0.1258294358733058
POLR1E,0,0.4958199972524985,0.4,0.1712188372738839,0.2840144536219192
POLR2B,0,0.6770599106330187,0.47,0.144049601669285,0.1868874647311883
POLR2C,0,0.7009088387261789,0.54,0.1333159081587846,0.134545299052514
POLR2E,0,0.4966272188626586,0.45,0.1632261489849942,0.2318691476506781
POLR3B,0,0.4798994132534454,0.42,0.1465715693374937,0.1703818560768736
POLR3C,0,0.180028597934274,0.2,0.1397616741096061,0.1679153904547272
POP1,0,0.536925754888856,0.49,0.2058501623118423,0.4079675264516534
PPAN,0,0.6247378775640526,0.42,0.1539261704340723,0.1521543845595104
PPP1CA,0,0.3000989520634674,0.33,0.19532538797716,0.183007480869181
PPP4C,0,0.2524293623874587,0.27,0.1659688881238952,0.1772061996006819
PPRC1,0,0.8470404738336071,0.67,0.1927873369077493,0.4664240830098146
PRELID1,0,0.3976286558417112,0.26,0.1274976038883082,0.1638846906174028
PRELID3B,0,0.7368436544721467,0.48,0.1586799133199084,0.2638682211381823
PRIM1,0,0.4835276020375491,0.39,0.1257063195086364,0.1338146845322559
PRPF19,0,0.5321667976874623,0.31,0.1732022150646425,0.1257120421385682
PRPF3,0,0.6324518970723939,0.31,0.1272239989457484,0.1272802793718692
PRPF31,0,0.4847796868627194,0.29,0.1541379543380709,0.1126925891526854
PRPF4,0,0.6048167330513634,0.4,0.1465407985049887,0.132336012385097
PRPF40A,0,0.5348859755964672,0.37,0.1689750902891896,0.1431711847349132
PRPF6,0,0.6319259389856573,0.35,0.1414963687330124,0.2034813152228463
PRPF8,0,0.6117683758668903,0.37,0.1439239149687642,0.1667690906378923
PSMA1,0,0.5047728940795384,0.34,0.1127072338490095,0.2081684560992876
PSMA4,0,0.5871015945057871,0.38,0.1219048280571693,0.222662677537407
PSMB1,0,0.4043463178273119,0.27,0.1587466304155599,0.2883973273493659
PSMB5,0,0.7087552071436919,0.44,0.1060708124573996,0.2737420454228971
PSMB7,0,0.5531257395105342,0.4,0.1226377061925196,0.1988218018476641
PSMC3,0,0.3680850732624218,0.36,0.1131733998566874,0.1051073265103919
PSMD13,0,0.5410872689865374,0.36,0.1408012647649453,0.2494744409672938
PSMD2,0,0.5940143725427263,0.39,0.1011598562561779,0.1730360256936479
PSMD3,0,0.4083100967721076,0.35,0.139112101386924,0.2079607097569709
PSMD7,0,0.6224534695856687,0.3,0.0972798919923164,0.293283044917617
PSMG3,0,0.4600368901389185,0.3,0.1259275876200062,0.1438697885319211
PSMG4,0,0.4119907231462737,0.47,0.1794451147090745,0.2469306847353523
PTBP1,0,0.280234757158102,0.33,0.1620366065002458,0.1629667135584756
PUF60,0,0.3370892402456467,0.29,0.1480388706178228,0.1399146795966656
PWP2,0,0.4786222915235127,0.49,0.1975843790081824,0.3982259735301369
RACGAP1,0,0.6284790001425687,0.47,0.1644401837215308,0.236428324925875
RAD51,0,0.467456433343518,0.43,0.1662245262677882,0.2163809442120501
RAD51C,0,0.3462881155143094,0.35,0.1795729864406463,0.1990270955233531
RANGAP1,0,0.5734951828282022,0.38,0.1925725196259867,0.2587903640752969
RARS,0,0.6999421487360684,0.45,0.1447293104235227,0.2107092550552157
RBBP6,0,0.2763156671662047,0.23,0.1405353904099454,0.126180345607958
