model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_official_cell_gat_k562_all_fixed2000,K562,PHAX,top_true_de,100,304,2000,4851,0.13682149337271168,0.13911896601662724
TxPert_official_cell_gat_k562_all_fixed2000,K562,PHB,top_true_de,100,217,2000,4950,0.12329325673650723,0.1237956559847098
TxPert_official_cell_gat_k562_all_fixed2000,K562,PHB2,top_true_de,100,292,2000,4950,0.14506627139112577,0.14504306905779096
TxPert_official_cell_gat_k562_all_fixed2000,K562,PHF5A,top_true_de,100,197,2000,4950,0.1352707691978241,0.12781015262850112
TxPert_official_cell_gat_k562_all_fixed2000,K562,PIAS4,top_true_de,100,173,2000,4950,0.15810762121849484,0.15434788639808583
TxPert_official_cell_gat_k562_all_fixed2000,K562,PKM,top_true_de,100,44,2000,4950,0.12226486409796894,0.11839188073812139
TxPert_official_cell_gat_k562_all_fixed2000,K562,PLRG1,top_true_de,100,80,2000,4950,0.09499487094767971,0.10148052507796955
TxPert_official_cell_gat_k562_all_fixed2000,K562,PMF1,top_true_de,100,255,2000,4950,0.12518671664360462,0.12472393938267275
TxPert_official_cell_gat_k562_all_fixed2000,K562,PMPCA,top_true_de,100,114,2000,4950,0.24264046863184596,0.22776102618608965
TxPert_official_cell_gat_k562_all_fixed2000,K562,PMPCB,top_true_de,100,471,2000,4950,0.27637150109356423,0.25900246491493606
TxPert_official_cell_gat_k562_all_fixed2000,K562,PNISR,top_true_de,100,89,2000,4950,0.16791519326054555,0.1629043441032218
TxPert_official_cell_gat_k562_all_fixed2000,K562,PNN,top_true_de,100,64,2000,4950,0.10053758824102205,0.09378599692046005
TxPert_official_cell_gat_k562_all_fixed2000,K562,PNO1,top_true_de,100,114,2000,4950,0.3877145037051374,0.3779206353233973
TxPert_official_cell_gat_k562_all_fixed2000,K562,PNPT1,top_true_de,100,112,2000,4950,0.39758415816811676,0.38996528956396476
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLA1,top_true_de,100,195,2000,4950,0.10889416916610815,0.10530779381838856
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLA2,top_true_de,100,212,2000,4950,0.15483922031998143,0.1503686649193693
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLD1,top_true_de,100,197,2000,4950,0.14792866287195286,0.1362284005596673
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLD2,top_true_de,100,63,2000,4950,0.08193195588780047,0.0784257647773112
TxPert_official_cell_gat_k562_all_fixed2000,K562,POLD3,top_true_de,100,65,2000,4950,0.14195033008913546,0.13190890655312712
