condition,state_available,mean_pcc,mean_spearman,delta_pcc,delta_spearman,top100_de_overlap,auprc
SAMM50,True,0.9935065048802505,0.9522897012565151,0.5100229868842904,0.3054227746048603,0.35,0.29884445612241234
SAP130,False,0.9952245257438214,0.967346204972724,0.2122826874717382,0.1064379628848386,0.3,0.24040115348395824
SAP18,True,0.9873836132853612,0.9203831986816315,0.1104261996556653,0.032428921997372226,0.12,0.08896644780230069
SARS,False,0.9784059264731779,0.8871846621300984,0.4265706178258466,0.25928051773112554,0.34,0.3053208574856669
SARS2,True,0.9976473817906417,0.9789737379743495,0.01887713525475781,0.01729493057132742,0.18,0.10718627766594321
SART1,False,0.9936040812670659,0.9667135948449775,0.5774752975682144,0.45623236291546815,0.5,0.4733756463255361
SART3,True,0.9908564895695167,0.9397724181756372,0.4541407146304665,0.3847904965458263,0.31,0.22452895179612908
SBNO1,True,0.9964433116697664,0.9745145009292626,-0.02554643570755136,-0.026545871861726005,0.17,0.08515322805125326
SCAF1,True,0.9955709886188541,0.9647936702792891,0.5097344467063529,0.31227178296280766,0.36,0.36781505974796064
SCFD1,True,0.9895003447293869,0.9329705775934974,0.44632843981881615,0.26453970482008965,0.3,0.28760144268522636
SDAD1,True,0.9943458721084042,0.9683813324462741,0.5147699655630452,0.3385398827321263,0.42,0.4143147300781385
SDC1,True,0.9974479945545752,0.9791304880919809,0.15933612283458115,0.09752584807591762,0.23,0.19111745039797684
SDE2,True,0.9973770463786662,0.9766497153159727,0.2653305960477361,0.15766615904846043,0.26,0.1820895136094172
SDHC,True,0.9960238508005747,0.9657996774896039,-0.034731246007972526,-0.009813569610659413,0.19,0.10913677700737784
SEC13,False,0.9915563993283424,0.9401647767085655,0.4388996840621897,0.27517761016278436,0.44,0.3487384469541456
SEC61A1,True,0.9904381419194525,0.9385971195132946,0.5993121935154738,0.4116172221657884,0.42,0.3727630995953901
SEC61G,True,0.9866734447112218,0.9103768201266429,0.5540716199548152,0.3534584987892153,0.41,0.396287266184321
SEH1L,False,0.9935460353943728,0.949841171904605,0.37139263237261977,0.2549420012489171,0.29,0.2030853961481334
SERBP1,False,0.9946966492595213,0.9693850426680626,0.0728916822894277,0.05854699670288966,0.23,0.18423952999679125
SETD1A,True,0.9867826235561996,0.9195070736717376,0.49340206759091354,0.3420539933865093,0.35,0.2992963069734877
SETDB1,True,0.9958206140532768,0.9694416673218127,-0.004472285270472277,0.019023195805110558,0.15,0.13162249235101012
SF1,True,0.983929967103126,0.865283497052536,0.05064156963621736,0.030721400019597122,0.15,0.09973124821343045
SF3A1,False,0.9974477488986605,0.9767713209197159,0.532528741097576,0.4276684249713451,0.48,0.41647513017300736
SF3A2,True,0.9921715199878446,0.96350163695559,0.3973157839105947,0.27427513259974423,0.29,0.21242625812094293
SF3B2,False,0.9774899393972984,0.909637178270288,0.6385654010536639,0.5602540668814355,0.5,0.4687825089418629
SF3B3,False,0.9865994013288989,0.9413177410439486,0.6461748146401002,0.5541214833796774,0.48,0.44665046242466944
SF3B4,False,0.9947613683123345,0.9680826042615504,0.6264463472211158,0.4715114685579799,0.49,0.43444894305608683
SF3B5,True,0.9820168959314167,0.882594895580544,0.6908842784026941,0.5925854423027694,0.54,0.5235493253197964
SFPQ,True,0.9695406768257196,0.8446446235488033,0.4835896294452674,0.33265705467268797,0.42,0.3835417128206235
SFSWAP,True,0.9934381581759602,0.9530409395054985,0.2538424832454152,0.19594614105594163,0.23,0.19339489395789108
SIN3A,False,0.9960325276832047,0.9735227407652254,0.2387515780039779,0.1443797349351783,0.32,0.2496381379224186
SKA3,True,0.9971454981367,0.968758115556665,0.26442326390538706,0.11459728268100064,0.2,0.17003157681209413
SKP1,False,0.9914910216512306,0.9435749873442527,0.16731347930339685,0.10345835270321632,0.28,0.20841744519544184
SLBP,True,0.9874822616953022,0.9279250090180943,0.2442023031217153,0.16211819534419566,0.34,0.2653603868792826
SLC39A9,True,0.9983564412739322,0.9881442182189409,0.2422440899824063,0.14671157844982646,0.28,0.1941898067214868
SLC7A5,False,0.9970160791117909,0.9774560647090791,0.34936112084357784,0.22034725219936838,0.3,0.24995977495446317
