model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
TxPert_exphormer_mg_fixed2000,CWC15,144,2000,0.0717504833286696,0.12998338324792247,0.07176483629592878,0.3813647463910284,0.03447923936098814,0.09041013565929833
TxPert_exphormer_mg_fixed2000,CHMP6,620,2000,0.08119656399944605,0.1118204879320033,0.0812128065607582,0.4110805049903692,0.038800768652372065,0.09438727265699054
TxPert_exphormer_mg_fixed2000,RBX1,41,2000,0.0679082416630901,0.11414457191571287,0.06808526334779437,0.3988739547789097,0.03478940124377609,0.08721903236542242
TxPert_exphormer_mg_fixed2000,BRIX1,95,2000,0.06411718008968835,0.11254388328491392,0.06411718008968835,0.4378607983720304,0.03528015373650938,0.0805739017101833
TxPert_exphormer_mg_fixed2000,PTCD1,246,2000,0.07401361310324071,0.15374789186121404,0.07401361310324071,0.38484603805541995,0.03469183426126838,0.09014470704990211
TxPert_exphormer_mg_fixed2000,HIRA,228,2000,0.07608695143308916,0.12989735382721473,0.07608695143308916,0.38433348453447236,0.034924538141041996,0.09087039937371236
TxPert_exphormer_mg_fixed2000,POP4,116,2000,0.07068852426396069,0.1724992781124431,0.07068852426396069,0.4057025203838944,0.03495979330498725,0.08617100137853881
TxPert_exphormer_mg_fixed2000,DYNC1H1,217,2000,0.06597429459934939,0.09751796870727679,0.06598749209776894,0.4235296136718989,0.03295024724826217,0.07779915596597833
TxPert_exphormer_mg_fixed2000,POLR3B,109,2000,0.06613983702443615,0.1078186373603923,0.06613983702443615,0.3976063604837657,0.033068648584410554,0.08316931276572881
TxPert_exphormer_mg_fixed2000,DNAJC8,260,2000,0.06579010126806704,0.10703726427300529,0.06579010126806704,0.3950580470976233,0.03216769779216498,0.08142524171887976
TxPert_exphormer_mg_fixed2000,QARS,376,2000,0.06607628875526922,0.09551932020850902,0.06608950665660054,0.43227349219173195,0.03576678087100387,0.08274109028117056
TxPert_exphormer_mg_fixed2000,WBP11,205,2000,0.06559712312729447,0.10078672277775073,0.06559712312729447,0.4206666050851345,0.03331445012439043,0.07919442363556294
TxPert_exphormer_mg_fixed2000,MCM10,190,2000,0.06703290527286537,0.09300021958570483,0.06704631453577253,0.3967743424931168,0.030759307384081194,0.07752342657938004
TxPert_exphormer_mg_fixed2000,PSMD1,87,2000,0.07956004232711966,0.13659630284138255,0.07956004232711966,0.42615238853394993,0.039603482837080956,0.09293267613493415
TxPert_exphormer_mg_fixed2000,MED20,78,2000,0.06548482690669835,0.13636324261189986,0.06551103131922603,0.46188500939279786,0.03698424444362521,0.08007240523246532
TxPert_exphormer_mg_fixed2000,DERL2,122,2000,0.06532114491329694,0.09415340106594774,0.06533421175564808,0.41740469678282743,0.03350430577374995,0.08026815517243795
TxPert_exphormer_mg_fixed2000,VPS54,306,2000,0.07099043276595117,0.10127920525351879,0.07100463369268971,0.40096455988809465,0.03391808331459761,0.08459122292042864
TxPert_exphormer_mg_fixed2000,WDR12,174,2000,0.07289975815898786,0.13880499627207096,0.07289975815898786,0.39230426472738406,0.03420931967735291,0.08720098627812631
TxPert_exphormer_mg_fixed2000,OXA1L,305,2000,0.06758608873309227,0.1611860846406003,0.06758608873309227,0.40323427418053165,0.033637557085603474,0.08341938769904703
TxPert_exphormer_mg_fixed2000,SART3,142,2000,0.06690726007396264,0.12437301890248464,0.06690726007396264,0.3804519703149796,0.033290014426670976,0.08750122525084472
TxPert_exphormer_mg_fixed2000,TEX10,153,2000,0.07110123126996257,0.13970637747029535,0.07110123126996257,0.38262425104796904,0.03286299227796495,0.08588841749855733
TxPert_exphormer_mg_fixed2000,GTF2E1,176,2000,0.06786272912999482,0.14500851580068932,0.06786272912999482,0.4152714418709278,0.03435910297889263,0.08273889963804187
TxPert_exphormer_mg_fixed2000,DDX54,68,2000,0.0756096857560504,0.13498902593741355,0.0756096857560504,0.3821444989299775,0.03429063420727849,0.0897321128682285
TxPert_exphormer_mg_fixed2000,E4F1,130,2000,0.0645994136125369,0.12083044792552597,0.0645994136125369,0.3900539192762972,0.03300732732206586,0.08462247100883559
TxPert_exphormer_mg_fixed2000,RIOK1,290,2000,0.07286690680982753,0.1868240796427955,0.07286690680982753,0.42161439740747225,0.036796531800180686,0.08727531875972734
TxPert_exphormer_mg_fixed2000,EBNA1BP2,68,2000,0.08105809541890015,0.13991895122275846,0.08105809541890015,0.37901055185675625,0.03605134825251997,0.09511964013853857
