model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_exphormer_mg_fixed2000,MED8+ctrl,top_true_de,100,94,2000,4851,0.3168871732808807,0.32755022469849693
TxPert_exphormer_mg_fixed2000,WDR70+ctrl,top_true_de,100,29,2000,4950,0.16564259238499307,0.16573489036585795
TxPert_exphormer_mg_fixed2000,NRBP1+ctrl,top_true_de,100,62,2000,4950,0.306950204279246,0.2972054248611353
TxPert_exphormer_mg_fixed2000,PRELID1+ctrl,top_true_de,100,122,2000,4950,0.1309992245466195,0.1211658967618945
TxPert_exphormer_mg_fixed2000,SNRNP48+ctrl,top_true_de,100,179,2000,4851,0.07324248242355574,0.07184552707807774
TxPert_exphormer_mg_fixed2000,TAF6+ctrl,top_true_de,100,111,2000,4950,0.3551551130738144,0.3644800276877632
TxPert_exphormer_mg_fixed2000,TCP1+ctrl,top_true_de,100,63,2000,4950,0.13181185090173347,0.12720204594789955
TxPert_exphormer_mg_fixed2000,ATP6AP1+ctrl,top_true_de,100,114,2000,4950,0.23439139705156337,0.23185814406237917
TxPert_exphormer_mg_fixed2000,ISCU+ctrl,top_true_de,100,32,2000,4851,0.09341533943543781,0.09257537422755416
TxPert_exphormer_mg_fixed2000,PAM16+ctrl,top_true_de,100,43,2000,4851,0.2905340337538941,0.2845421619084212
TxPert_exphormer_mg_fixed2000,DDX52+ctrl,top_true_de,100,106,2000,4950,0.3640237083885243,0.3810729659563592
TxPert_exphormer_mg_fixed2000,SIN3A+ctrl,top_true_de,100,217,2000,4851,0.10910848366713749,0.10456967541368613
TxPert_exphormer_mg_fixed2000,NCAPH+ctrl,top_true_de,100,64,2000,4950,0.2927860481556409,0.2827631900655595
TxPert_exphormer_mg_fixed2000,PDCD2+ctrl,top_true_de,100,59,2000,4950,0.3749002844857416,0.37539442699788333
TxPert_exphormer_mg_fixed2000,SPC25+ctrl,top_true_de,100,181,2000,4950,0.11180115704753163,0.11240450114780931
TxPert_exphormer_mg_fixed2000,XRCC6+ctrl,top_true_de,100,26,2000,4950,0.20379462831668238,0.206908356671058
TxPert_exphormer_mg_fixed2000,WDTC1+ctrl,top_true_de,100,107,2000,4950,0.14584712080457166,0.13379105352280657
TxPert_exphormer_mg_fixed2000,RFC4+ctrl,top_true_de,100,58,2000,4851,0.19045493902065208,0.19382994415099972
TxPert_exphormer_mg_fixed2000,CNIH4+ctrl,top_true_de,100,65,2000,4950,0.07936693437973794,0.07405256117184643
TxPert_exphormer_mg_fixed2000,HAUS5+ctrl,top_true_de,100,153,2000,4950,0.12159924803091703,0.12168995294329081
TxPert_exphormer_mg_fixed2000,PRPF3+ctrl,top_true_de,100,129,2000,4950,0.16382291871471355,0.16086652994418685
TxPert_exphormer_mg_fixed2000,SRP68+ctrl,top_true_de,100,158,2000,4950,0.08473275316100287,0.08337067783588237
TxPert_exphormer_mg_fixed2000,NDUFA8+ctrl,top_true_de,100,85,2000,4950,0.09738567012469451,0.09061474705461303
TxPert_exphormer_mg_fixed2000,PET117+ctrl,top_true_de,100,80,2000,4950,0.24691771983767624,0.23584611606474515
TxPert_exphormer_mg_fixed2000,VPS72+ctrl,top_true_de,100,95,2000,4950,0.18548095564765088,0.1579870760665405
TxPert_exphormer_mg_fixed2000,UQCRB+ctrl,top_true_de,100,93,2000,4950,0.19282029363150704,0.17751330326582504
TxPert_exphormer_mg_fixed2000,RBM19+ctrl,top_true_de,100,37,2000,4950,0.26639109451553594,0.25898370477528543
TxPert_exphormer_mg_fixed2000,RPS5+ctrl,top_true_de,100,127,2000,4950,0.3062617817927424,0.3077470831679559
TxPert_exphormer_mg_fixed2000,SDC1+ctrl,top_true_de,100,170,2000,4950,0.15225366013064803,0.14929335434130797
TxPert_exphormer_mg_fixed2000,MTPAP+ctrl,top_true_de,100,86,2000,4950,0.3005342690663247,0.2967935791761361
TxPert_exphormer_mg_fixed2000,ARIH1+ctrl,top_true_de,100,57,2000,4851,0.11767222606282882,0.1177567299895247
TxPert_exphormer_mg_fixed2000,DDX41+ctrl,top_true_de,100,259,2000,4950,0.23397892421777716,0.2485860266371568
