model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
Scouter_GenePTv1_40ep_fixed2000,NAA15,top_true_de,100,107,2000,4950,0.6690423109429758,0.5519080355226152
Scouter_GenePTv1_40ep_fixed2000,DONSON,top_true_de,100,688,2000,4950,0.8153531933800365,0.7996357798344395
Scouter_GenePTv1_40ep_fixed2000,RARS2,top_true_de,100,139,2000,4851,0.7333903487343529,0.7302060594749641
Scouter_GenePTv1_40ep_fixed2000,RPF1,top_true_de,100,108,2000,4950,0.6527753227320221,0.6306317869244621
Scouter_GenePTv1_40ep_fixed2000,ZBTB17,top_true_de,100,158,2000,4950,0.5473338342508838,0.4747526525330903
Scouter_GenePTv1_40ep_fixed2000,DPH2,top_true_de,100,161,2000,4950,0.6064197138819046,0.5293935425884023
Scouter_GenePTv1_40ep_fixed2000,TAF10,top_true_de,100,38,2000,4950,0.5477682003200616,0.5345989192713969
Scouter_GenePTv1_40ep_fixed2000,XPO1,top_true_de,100,139,2000,4950,0.6947220174694207,0.7100509349530576
Scouter_GenePTv1_40ep_fixed2000,NUP54,top_true_de,100,266,2000,4950,0.758650298650959,0.7418930278140694
Scouter_GenePTv1_40ep_fixed2000,SSRP1,top_true_de,100,440,2000,4950,0.7171942060310824,0.7374020528693951
Scouter_GenePTv1_40ep_fixed2000,SON,top_true_de,100,238,2000,4950,0.8291144266952152,0.8219034317003067
Scouter_GenePTv1_40ep_fixed2000,BGLAP,top_true_de,100,236,2000,4950,0.7096663052563728,0.6531167805299443
Scouter_GenePTv1_40ep_fixed2000,PSMD7,top_true_de,100,175,2000,4950,0.9266245079634384,0.8791988079058853
Scouter_GenePTv1_40ep_fixed2000,SUGT1,top_true_de,100,94,2000,4950,0.38469489683424196,0.34399430325515573
Scouter_GenePTv1_40ep_fixed2000,CENPE,top_true_de,100,171,2000,4851,0.6747927015149401,0.6603678954891095
Scouter_GenePTv1_40ep_fixed2000,MZT1,top_true_de,100,381,2000,4950,0.7363328378691119,0.6560439154810414
Scouter_GenePTv1_40ep_fixed2000,NFRKB,top_true_de,100,223,2000,4950,0.5142108317816533,0.41921028154076945
Scouter_GenePTv1_40ep_fixed2000,RPS14,top_true_de,100,156,2000,4950,0.8388744831361968,0.8520585652026016
Scouter_GenePTv1_40ep_fixed2000,SNRPG,top_true_de,100,325,2000,4950,0.9042024272265536,0.8610201562038073
Scouter_GenePTv1_40ep_fixed2000,MRPL38,top_true_de,100,132,2000,4950,0.5662705886948867,0.5420679072429107
Scouter_GenePTv1_40ep_fixed2000,MAGOH,top_true_de,100,149,2000,4950,0.6371396694413092,0.6407351864086361
Scouter_GenePTv1_40ep_fixed2000,DNTTIP2,top_true_de,100,235,2000,4950,0.7737180454889655,0.7359089979872144
Scouter_GenePTv1_40ep_fixed2000,U2AF1,top_true_de,100,141,2000,4950,0.8011967720002662,0.8021542358276238
Scouter_GenePTv1_40ep_fixed2000,NOL6,top_true_de,100,107,2000,4950,0.589261016659426,0.5580238838891369
Scouter_GenePTv1_40ep_fixed2000,SF3A2,top_true_de,100,236,2000,4950,0.8788154123873582,0.851210943261771
Scouter_GenePTv1_40ep_fixed2000,TXN,top_true_de,100,81,2000,4950,0.7660634687248007,0.7711104622306878
Scouter_GenePTv1_40ep_fixed2000,ORC5,top_true_de,100,89,2000,4950,0.4866261742777184,0.44246676078372094
Scouter_GenePTv1_40ep_fixed2000,DDX49,top_true_de,100,41,2000,4950,0.5646977274204887,0.5039589901966053
Scouter_GenePTv1_40ep_fixed2000,ANKRD11,top_true_de,100,184,2000,4851,0.5837919833493854,0.5052306200663893
Scouter_GenePTv1_40ep_fixed2000,CCDC86,top_true_de,100,235,2000,4851,0.711434740102368,0.6986828275567961
